archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,10817,14239,5,0,35153,43,0
Regular,5,6633,5842,5,0,21556,56,0
Hardcore,5,2681,2202,5,0,8712,22,0
Hoarder,5,9394,8997,5,0,30531,66,0
"Early Locker",5,5655,3387,5,0,18380,59,0
"Late Deployer",5,12038,15068,5,0,39124,43,0
Boost-Focused,5,6166,4930,5,0,20040,7,0
Star-Focused,5,9517,7546,5,0,30930,66,0
"Aggressive Sigil User",5,5014,3367,5,0,16295,20,0
"Mostly Idle",5,11461,12675,5,0,37247,36,0
