archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,12,9168,9079,12,0,71512,102,0
Regular,12,11032,8283,12,0,86047,127,0
Hardcore,12,7060,5021,12,0,55063,61,0
Hoarder,12,10069,6599,12,0,78536,164,0
"Early Locker",12,8864,5577,12,0,69141,140,0
"Late Deployer",12,8382,6361,12,0,65378,111,0
Boost-Focused,12,4010,1119,12,0,31278,23,0
Star-Focused,12,10720,10935,12,0,83617,155,0
"Aggressive Sigil User",12,5898,5197,12,0,46004,64,0
"Mostly Idle",12,9646,12066,12,0,75233,87,0
