archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,13775,13775,1,0,8953,9,0
Regular,1,5216,5216,1,0,3390,11,0
Hardcore,1,10720,10720,1,0,6968,6,0
Hoarder,1,8998,8998,1,0,5848,14,0
"Early Locker",1,13571,13571,1,0,8821,10,0
"Late Deployer",1,5405,5405,1,0,3513,9,0
Boost-Focused,1,3813,3813,1,0,2478,1,0
Star-Focused,1,6300,6300,1,0,4095,13,0
"Aggressive Sigil User",1,3459,3459,1,0,2248,3,0
"Mostly Idle",1,2455,2455,1,0,1595,8,0
