archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,16184,16184,1,0,10519,7,0
Regular,1,600,600,1,0,390,12,0
Hardcore,1,10349,10349,1,0,6726,3,0
Hoarder,1,18697,18697,1,0,12153,13,0
"Early Locker",1,12514,12514,1,0,8134,10,0
"Late Deployer",1,14278,14278,1,0,9280,10,0
Boost-Focused,1,4439,4439,1,0,2885,2,0
Star-Focused,1,4966,4966,1,0,3227,13,0
"Aggressive Sigil User",1,1768,1768,1,0,1149,6,0
"Mostly Idle",1,8521,8521,1,0,5538,8,0
