archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,2240,2240,1,0,1456,8,0
Regular,1,11448,11448,1,0,7441,11,0
Hardcore,1,2769,2769,1,0,1799,3,0
Hoarder,1,18203,18203,1,0,11831,13,0
"Early Locker",1,10492,10492,1,0,6819,9,0
"Late Deployer",1,1296,1296,1,0,842,10,0
Boost-Focused,1,3146,3146,1,0,2044,1,0
Star-Focused,1,3441,3441,1,0,2236,12,0
"Aggressive Sigil User",1,7435,7435,1,0,4832,4,0
"Mostly Idle",1,2045,2045,1,0,1329,8,0
