archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,4992,4992,1,0,3244,8,0
Regular,1,6349,6349,1,0,4126,12,0
Hardcore,1,1587,1587,1,0,1031,4,0
Hoarder,1,17150,17150,1,0,11147,13,0
"Early Locker",1,13345,13345,1,0,8674,9,0
"Late Deployer",1,15940,15940,1,0,10361,8,0
Boost-Focused,1,495,495,1,0,321,3,0
Star-Focused,1,15445,15445,1,0,10039,13,0
"Aggressive Sigil User",1,5919,5919,1,0,3847,3,0
"Mostly Idle",1,5947,5947,1,0,3865,6,0
