archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,12,9390,8396,12,0,73238,97,0
Regular,12,9608,7192,12,0,74940,126,0
Hardcore,12,6098,4979,12,0,47563,62,0
Hoarder,12,11490,11607,12,0,89620,156,0
"Early Locker",12,7794,7359,12,0,60789,137,0
"Late Deployer",12,9253,10106,12,0,72168,111,0
Boost-Focused,12,4706,2969,12,0,36704,17,0
Star-Focused,12,10781,9188,12,0,84091,154,0
"Aggressive Sigil User",12,7675,6614,12,0,59860,63,0
"Mostly Idle",12,7997,6320,12,0,62379,86,0
