archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,16747,16747,1,0,10885,9,0
Regular,1,4475,4475,1,0,2908,10,0
Hardcore,1,12983,12983,1,0,8438,5,0
Hoarder,1,11204,11204,1,0,7282,13,0
"Early Locker",1,14640,14640,1,0,9516,10,0
"Late Deployer",1,11386,11386,1,0,7400,11,0
Boost-Focused,1,9694,9694,1,0,6301,1,0
Star-Focused,1,5487,5487,1,0,3566,13,0
"Aggressive Sigil User",1,3629,3629,1,0,2358,5,0
"Mostly Idle",1,860,860,1,0,559,8,0
