archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,10496,10496,0,1,10552,2,0
Regular,1,20098,20098,1,0,13063,2,1
Hardcore,1,21850,21850,0,1,21966,0,0
Hoarder,1,10747,10747,1,0,6985,1,0
"Early Locker",1,22829,22829,1,0,14838,1,0
"Late Deployer",1,20069,20069,0,1,20125,2,0
Boost-Focused,1,17914,17914,0,1,17970,0,0
Star-Focused,1,20628,20628,1,0,13408,1,1
"Aggressive Sigil User",1,16244,16244,0,1,16300,0,0
"Mostly Idle",1,14829,14829,1,0,9638,0,0
