archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,12,5726,3844,12,0,44661,6,0
Regular,12,5330,5081,12,0,41574,9,0
Hardcore,12,4879,3963,4,8,49585,5,0
Hoarder,12,8983,9055,12,0,70064,79,0
"Early Locker",12,7271,5506,12,0,56707,9,0
"Late Deployer",12,6612,3255,4,8,61135,45,0
Boost-Focused,12,4248,3812,4,8,44310,15,1
Star-Focused,12,10280,9209,12,0,80180,114,0
"Aggressive Sigil User",12,8081,4765,9,3,67055,49,0
"Mostly Idle",12,11158,11072,12,0,87030,27,0
