archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,5693,5693,1,0,3700,1,0
Regular,1,5147,5147,1,0,3345,0,0
Hardcore,1,5695,5695,1,0,3701,0,0
Hoarder,1,3255,3255,1,0,2115,0,0
"Early Locker",1,2671,2671,1,0,1736,0,0
"Late Deployer",1,4403,4403,1,0,2861,0,0
Boost-Focused,1,5005,5005,0,1,5061,0,0
Star-Focused,1,14455,14455,1,0,9395,1,0
"Aggressive Sigil User",1,4833,4833,0,1,4889,3,0
"Mostly Idle",1,9020,9020,1,0,5863,0,0
