archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,6280,4612,5,0,20407,5,0
Regular,5,7467,5426,5,0,24268,7,0
Hardcore,5,6234,4834,2,3,25521,1,0
Hoarder,5,7986,8665,5,0,25956,27,0
"Early Locker",5,8254,3217,5,0,26825,0,0
"Late Deployer",5,5734,3941,2,3,22919,8,0
Boost-Focused,5,4965,4640,2,3,21257,5,1
Star-Focused,5,8446,7862,4,1,28994,33,0
"Aggressive Sigil User",5,6772,5694,5,0,22009,6,0
"Mostly Idle",5,7988,7583,5,0,25957,4,0
