archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,12,5337,6165,12,0,41629,1,0
Regular,12,6996,5931,12,0,54564,9,0
Hardcore,12,5588,3912,5,7,53548,16,0
Hoarder,12,8722,7803,12,0,68029,76,0
"Early Locker",12,7927,6506,12,0,61832,11,0
"Late Deployer",12,4751,3260,6,6,44212,46,0
Boost-Focused,12,3813,3798,3,9,42253,10,3
Star-Focused,12,9993,8400,12,0,77947,92,0
"Aggressive Sigil User",12,7761,6199,12,0,60536,38,0
"Mostly Idle",12,12241,13279,12,0,95479,34,0
