archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,4959,4453,5,0,16115,2,0
Regular,5,4822,4556,5,0,15669,4,1
Hardcore,5,4025,4370,1,4,19425,2,0
Hoarder,5,6683,4573,5,0,21720,29,0
"Early Locker",5,5927,6769,5,0,19263,1,0
"Late Deployer",5,3534,3584,1,4,16757,15,0
Boost-Focused,5,6052,4333,1,4,25932,10,0
Star-Focused,5,7955,7897,5,0,25852,32,0
"Aggressive Sigil User",5,4537,4136,3,2,17747,9,0
"Mostly Idle",5,9527,9366,5,0,30961,5,0
