archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,12679,12679,1,0,8241,11,0
Regular,1,7759,7759,1,0,5043,11,0
Hardcore,1,3812,3812,1,0,2477,4,0
Hoarder,1,7148,7148,1,0,4646,14,0
"Early Locker",1,5178,5178,1,0,3365,10,0
"Late Deployer",1,1191,1191,1,0,774,9,0
Boost-Focused,1,9840,9840,1,0,6396,0,0
Star-Focused,1,16582,16582,1,0,10778,11,0
"Aggressive Sigil User",1,3708,3708,1,0,2410,4,0
"Mostly Idle",1,8856,8856,1,0,5756,9,0
