archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1620,1302,10,0,10526,0,0
Regular,10,1385,1109,10,0,8997,0,0
Hardcore,10,420,287,7,3,2943,0,0
Hoarder,10,2717,2065,10,0,17661,0,0
"Early Locker",10,1401,1210,10,0,9105,0,0
"Late Deployer",10,1408,510,8,2,9274,0,0
Boost-Focused,10,1299,286,8,2,8582,0,1
Star-Focused,10,2113,2017,10,0,13730,0,0
"Aggressive Sigil User",10,943,1021,9,1,6194,0,0
"Mostly Idle",10,1282,1006,10,0,8330,0,0
