player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,1,5,0,3579,0,0,1,0,2
2,Casual,3,3,1,4978,0,0,3,0,12.3333
3,Casual,2,4,0,1012,0,0,2,0,30
4,Casual,3,3,1.5,1639,0,0,3,0,24.6667
5,Casual,5,1,0.25,3136,0,0,5,0,22
6,Casual,2,4,0,1830,0,0,2,0,16.5
7,Casual,4,2,0.6667,2196,0,0,4,0,28.75
8,Casual,3,3,0.5,4110,0,0,3,0,9
9,Casual,4,2,0.3333,4469,0,0,4,0,18.25
10,Casual,4,2,0.6667,3562,0,0,4,0,20.5
11,Regular,3,3,1,1769,0,0,3,0,21
12,Regular,3,3,1,3279,0,0,3,0,19.3333
13,Regular,3,3,1,2272,0,0,3,0,24.6667
14,Regular,2,4,0,1548,0,0,2,0,21.5
15,Regular,3,3,0.5,2467,0,0,3,0,23
16,Regular,1,5,0,92,56,0,0,1,36
17,Regular,3,3,1,1555,0,0,3,0,23.6667
18,Regular,2,4,2,10035,0,0,2,0,1
19,Regular,3,3,1.5,3451,0,0,3,0,19
20,Regular,3,3,1,1469,0,0,3,0,26.6667
21,Hardcore,2,4,3,300,56,0,1,1,40
22,Hardcore,2,4,1,1620,0,0,2,0,17.5
23,Hardcore,3,3,1,1311,0,0,3,0,30
24,Hardcore,2,4,1,337,56,0,1,1,40
25,Hardcore,2,4,1,495,56,0,1,1,36.5
26,Hardcore,2,4,3,789,56,0,1,1,37
27,Hardcore,3,3,1.5,392,56,0,2,1,41.6667
28,Hardcore,3,3,1,2966,0,0,3,0,21.3333
29,Hardcore,3,3,1,3623,0,0,3,0,19.6667
30,Hardcore,3,3,1.5,975,56,0,2,1,33.3333
31,Hoarder,3,3,1,4043,0,0,3,0,13.3333
32,Hoarder,3,3,1,10491,0,0,3,0,10.3333
33,Hoarder,3,3,1,6422,0,0,3,0,5.3333
34,Hoarder,3,3,1.5,4941,0,0,3,0,15
35,Hoarder,3,3,0.5,2322,0,0,3,0,19.3333
36,Hoarder,2,4,3,3653,0,0,2,0,15.5
37,Hoarder,2,4,1,2036,0,0,2,0,19
38,Hoarder,1,5,0,110,0,0,1,0,35
39,Hoarder,3,3,1,14070,0,0,3,0,6
40,Hoarder,2,4,0,2175,0,0,2,0,17
41,"Early Locker",3,3,1.5,1125,0,0,3,0,32.3333
42,"Early Locker",5,1,0,4929,0,0,5,0,24
43,"Early Locker",2,4,1,1900,0,0,2,0,23.5
44,"Early Locker",3,3,0,2395,0,0,3,0,20.3333
45,"Early Locker",4,2,0.3333,2415,0,0,4,0,26
46,"Early Locker",4,2,0.6667,5334,0,0,4,0,11.75
47,"Early Locker",6,0,0,4469,0,0,6,0,22.8333
48,"Early Locker",5,1,0,2417,0,0,5,0,26.8
49,"Early Locker",2,4,0,1058,0,0,2,0,30.5
50,"Early Locker",5,1,0.25,3452,0,0,5,0,24
51,"Late Deployer",2,4,2,2843,0,0,2,0,11
52,"Late Deployer",2,4,1,1320,0,0,2,0,28.5
53,"Late Deployer",3,3,1.5,3706,56,0,2,1,20.6667
54,"Late Deployer",2,4,1,1357,0,0,2,0,25
55,"Late Deployer",3,3,1.5,2008,0,0,3,0,23.3333
56,"Late Deployer",2,4,1,254,56,0,1,1,44.5
57,"Late Deployer",3,3,1.5,1599,56,0,2,1,27.6667
58,"Late Deployer",2,4,1,768,0,0,2,0,30.5
59,"Late Deployer",2,4,2,580,56,0,1,1,42.5
60,"Late Deployer",2,4,1,1384,0,0,2,0,27.5
61,Boost-Focused,2,4,2,847,56,0,1,1,35
62,Boost-Focused,2,4,2,213,112,0,0,2,49.5
63,Boost-Focused,2,4,2,290,56,0,1,1,46
64,Boost-Focused,2,4,1,778,56,0,1,1,35.5
65,Boost-Focused,3,3,1.5,886,112,0,1,2,39.6667
66,Boost-Focused,3,3,1.5,311,112,0,1,2,42
67,Boost-Focused,2,4,2,221,112,0,0,2,36
68,Boost-Focused,2,4,1,784,56,0,1,1,32
69,Boost-Focused,2,4,2,779,56,0,1,1,41
70,Boost-Focused,2,4,2,860,0,0,2,0,35.5
71,Star-Focused,2,4,1,3998,0,0,2,0,5
72,Star-Focused,2,4,1,4649,0,0,2,0,3
73,Star-Focused,2,4,1,3706,0,0,2,0,9.5
74,Star-Focused,3,3,1,3560,0,0,3,0,13
75,Star-Focused,2,4,1,2506,0,0,2,0,13.5
76,Star-Focused,3,3,1.5,3885,0,0,3,0,19
77,Star-Focused,2,4,1,2146,0,0,2,0,15.5
78,Star-Focused,2,4,1,5101,0,0,2,0,5.5
79,Star-Focused,2,4,1,4353,0,0,2,0,9
80,Star-Focused,3,3,0.5,4142,0,0,3,0,18.3333
81,"Aggressive Sigil User",2,4,1,2798,0,0,2,0,13
82,"Aggressive Sigil User",3,3,1,2822,0,0,3,0,18
83,"Aggressive Sigil User",1,5,0,1447,0,0,1,0,8
84,"Aggressive Sigil User",3,3,0.5,1119,0,0,3,0,27.6667
85,"Aggressive Sigil User",3,3,1,2908,0,0,3,0,15
86,"Aggressive Sigil User",2,4,2,773,56,0,1,1,38
87,"Aggressive Sigil User",2,4,2,1985,0,0,2,0,17.5
88,"Aggressive Sigil User",3,3,0.5,1646,0,0,3,0,24.3333
89,"Aggressive Sigil User",3,3,1,2523,0,0,3,0,20
90,"Aggressive Sigil User",3,3,1.5,1583,0,0,3,0,27.6667
91,"Mostly Idle",2,4,3,392,0,0,2,0,31
92,"Mostly Idle",2,4,1,1171,0,0,2,0,30
93,"Mostly Idle",2,4,1,358,0,0,2,0,35.5
94,"Mostly Idle",1,5,0,880,0,0,1,0,12
95,"Mostly Idle",2,4,1,2607,0,0,2,0,15.5
96,"Mostly Idle",3,3,0,4260,0,0,3,0,7.6667
97,"Mostly Idle",3,3,1,3352,0,0,3,0,15.3333
98,"Mostly Idle",2,4,0,2863,0,0,2,0,17
99,"Mostly Idle",3,3,1.5,1728,0,0,3,0,29.3333
100,"Mostly Idle",3,3,1.5,2929,0,0,3,0,18.3333
