archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1536,1108,10,0,9980,0,0
Regular,10,1847,1859,10,0,12001,0,0
Hardcore,10,898,175,6,4,6122,0,0
Hoarder,10,4058,2859,10,0,26376,0,0
"Early Locker",10,749,261,10,0,4869,0,0
"Late Deployer",10,1081,1011,9,1,7092,0,0
Boost-Focused,10,402,280,8,2,2749,0,1
Star-Focused,10,1813,1020,10,0,11785,0,0
"Aggressive Sigil User",10,1331,1269,10,0,8651,0,0
"Mostly Idle",10,1161,652,10,0,7546,0,0
