player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,4,2,1670,0,0,2,0,18.5
2,Casual,4,2,0.6667,8147,0,0,4,0,3.25
3,Casual,3,3,0.5,2449,0,0,3,0,23
4,Casual,2,4,3,1828,0,0,2,0,18.5
5,Casual,2,4,2,3523,0,0,2,0,10
6,Casual,4,2,0.3333,2875,0,0,4,0,25
7,Casual,2,4,0,985,0,0,2,0,26.5
8,Casual,2,4,2,1409,0,0,2,0,22.5
9,Casual,2,4,1,1472,0,0,2,0,26
10,Casual,3,3,1,1509,0,0,3,0,28.3333
11,Regular,3,3,1,1247,0,0,3,0,26.3333
12,Regular,2,4,2,1322,0,0,2,0,23
13,Regular,2,4,2,1147,56,0,1,1,25
14,Regular,3,3,0.5,4219,0,0,3,0,11.6667
15,Regular,3,3,1.5,2416,0,0,3,0,18.6667
16,Regular,2,4,2,161,0,0,2,0,35.5
17,Regular,2,4,1,879,0,0,2,0,31
18,Regular,3,3,1,2682,0,0,3,0,13.3333
19,Regular,3,3,1,1699,0,0,3,0,27.6667
20,Regular,3,3,1,4586,0,0,3,0,15.6667
21,Hardcore,2,4,1,487,0,0,2,0,28
22,Hardcore,2,4,2,227,112,0,0,2,37.5
23,Hardcore,3,3,1,1386,0,0,3,0,24
24,Hardcore,2,4,3,281,0,0,2,0,35.5
25,Hardcore,2,4,3,854,56,0,1,1,29
26,Hardcore,2,4,2,316,56,0,1,1,34.5
27,Hardcore,2,4,2,223,112,0,0,2,44
28,Hardcore,3,3,1,3186,0,0,3,0,21.3333
29,Hardcore,3,3,1,1122,56,0,2,1,25.6667
30,Hardcore,3,3,1,1253,0,0,3,0,31.3333
31,Hoarder,2,4,1,7234,0,0,2,0,2.5
32,Hoarder,3,3,1,5817,0,0,3,0,12.6667
33,Hoarder,3,3,1.5,5104,0,0,3,0,11.6667
34,Hoarder,2,4,2,2102,0,0,2,0,21.5
35,Hoarder,2,4,2,2813,0,0,2,0,9
36,Hoarder,2,4,1,3565,0,0,2,0,13.5
37,Hoarder,2,4,1,3657,0,0,2,0,12
38,Hoarder,2,4,2,2232,0,0,2,0,15
39,Hoarder,0,6,0,0,0,0,0,0,0
40,Hoarder,2,4,1,3852,0,0,2,0,11.5
41,"Early Locker",3,3,1,2327,0,0,3,0,23
42,"Early Locker",2,4,2,733,0,0,2,0,30.5
43,"Early Locker",4,2,0.3333,2893,0,0,4,0,19.25
44,"Early Locker",5,1,0,4129,0,0,5,0,21.2
45,"Early Locker",3,3,1,2104,0,0,3,0,25.6667
46,"Early Locker",6,0,0,5742,0,0,6,0,20.3333
47,"Early Locker",2,4,4,1317,0,0,2,0,22.5
48,"Early Locker",4,2,0.3333,2604,0,0,4,0,21.25
49,"Early Locker",5,1,0,1885,0,0,5,0,30.4
50,"Early Locker",4,2,0.6667,3084,0,0,4,0,22.75
51,"Late Deployer",1,5,0,1669,0,0,1,0,8
52,"Late Deployer",2,4,2,3589,0,0,2,0,9.5
53,"Late Deployer",1,5,0,2284,0,0,1,0,5
54,"Late Deployer",3,3,1.5,6166,56,0,2,1,25.6667
55,"Late Deployer",3,3,1,1270,56,0,2,1,33
56,"Late Deployer",2,4,1,2457,0,0,2,0,17.5
57,"Late Deployer",2,4,2,3984,0,0,2,0,4.5
58,"Late Deployer",2,4,1,1357,0,0,2,0,20
59,"Late Deployer",2,4,1,1516,0,0,2,0,18.5
60,"Late Deployer",2,4,2,8016,0,0,2,0,13
61,Boost-Focused,3,3,1,493,0,0,3,0,37.3333
62,Boost-Focused,2,4,1,543,0,0,2,0,35
63,Boost-Focused,3,3,1.5,480,56,0,2,1,37.3333
64,Boost-Focused,3,3,1,971,56,0,2,1,29
65,Boost-Focused,1,5,0,1969,0,0,1,0,12
66,Boost-Focused,3,3,1,557,56,0,2,1,34.3333
67,Boost-Focused,3,3,1.5,1148,56,0,2,1,29
68,Boost-Focused,2,4,2,920,0,0,2,0,26
69,Boost-Focused,2,4,3,542,0,0,2,0,32
70,Boost-Focused,1,5,0,110,56,0,0,1,44
71,Star-Focused,3,3,1.5,8365,0,0,3,0,11.3333
72,Star-Focused,1,5,0,179,0,0,1,0,39
73,Star-Focused,1,5,0,300,0,0,1,0,32
74,Star-Focused,3,3,1,4707,0,0,3,0,20
75,Star-Focused,2,4,3,3510,0,0,2,0,9.5
76,Star-Focused,2,4,2,3252,0,0,2,0,12
77,Star-Focused,2,4,3,5200,0,0,2,0,4.5
78,Star-Focused,2,4,1,846,0,0,2,0,24
79,Star-Focused,3,3,1.5,6773,0,0,3,0,8.3333
80,Star-Focused,3,3,1,6740,0,0,3,0,7.3333
81,"Aggressive Sigil User",2,4,3,964,56,0,1,1,30
82,"Aggressive Sigil User",3,3,1.5,1839,0,0,3,0,25.3333
83,"Aggressive Sigil User",3,3,1.5,4082,0,0,3,0,14
84,"Aggressive Sigil User",2,4,1,854,0,0,2,0,22.5
85,"Aggressive Sigil User",3,3,1,2749,0,0,3,0,14.3333
86,"Aggressive Sigil User",3,3,1.5,4245,0,0,3,0,13
87,"Aggressive Sigil User",3,3,1.5,2889,0,0,3,0,18
88,"Aggressive Sigil User",3,3,1,1639,56,0,2,1,28
89,"Aggressive Sigil User",3,3,1.5,1742,0,0,3,0,27.3333
90,"Aggressive Sigil User",3,3,0.5,2038,0,0,3,0,21
91,"Mostly Idle",2,4,1,820,0,0,2,0,30
92,"Mostly Idle",3,3,1.5,3578,0,0,3,0,16.6667
93,"Mostly Idle",3,3,1,1695,0,0,3,0,27.6667
94,"Mostly Idle",2,4,2,4459,0,0,2,0,5.5
95,"Mostly Idle",3,3,0.5,4164,0,0,3,0,23.3333
