archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1370,1058,10,0,8905,0,0
Regular,10,1432,1008,10,0,9307,0,1
Hardcore,10,1183,138,7,3,7907,0,1
Hoarder,10,1755,1662,10,0,11408,0,0
"Early Locker",10,1285,1161,10,0,8348,0,0
"Late Deployer",10,960,309,6,4,6497,0,0
Boost-Focused,10,500,282,7,3,3458,0,0
Star-Focused,10,2214,2022,10,0,14389,0,0
"Aggressive Sigil User",10,1091,1019,10,0,7091,0,1
"Mostly Idle",10,907,552,10,0,5892,0,0
