player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,2,0.6667,2944,0,0,4,0,23.75
2,Casual,2,4,2,2933,0,0,2,0,9.5
3,Casual,4,2,0.6667,10642,0,0,4,0,11.75
4,Casual,3,3,1,1213,0,0,3,0,30.3333
5,Casual,3,3,1,1575,0,0,3,0,25.3333
6,Casual,1,5,0,848,0,0,1,0,17
7,Casual,2,4,3,3690,0,0,2,0,11.5
8,Casual,2,4,0,3256,0,0,2,0,10
9,Casual,6,0,0,5774,0,0,6,0,21.5
10,Casual,3,3,0.5,2094,0,0,3,0,23.6667
11,Regular,4,2,0.3333,3324,0,0,4,0,23.5
12,Regular,3,3,1,958,56,0,2,1,32.3333
13,Regular,2,4,1,2068,0,0,2,0,30
14,Regular,5,1,0.25,9645,0,0,5,0,20
15,Regular,4,2,0.6667,3549,0,0,4,0,22.25
16,Regular,3,3,1,1923,0,0,3,0,27.6667
17,Regular,1,5,0,54,0,0,1,0,41
18,Regular,5,1,0.25,3808,0,0,5,0,22.4
19,Regular,3,3,0.5,3386,0,0,3,0,14.6667
20,Regular,3,3,1,1087,56,0,2,1,30.6667
21,Hardcore,2,4,2,223,112,0,0,2,46
22,Hardcore,3,3,1.5,688,0,0,3,0,35
23,Hardcore,3,3,1.5,901,112,0,1,2,36
24,Hardcore,2,4,2,821,56,0,1,1,31.5
25,Hardcore,3,3,1.5,6386,0,0,3,0,23.3333
26,Hardcore,3,3,1,2937,0,0,3,0,21.6667
27,Hardcore,3,3,1,1529,56,0,2,1,29.3333
28,Hardcore,3,3,1,610,0,0,3,0,36.6667
29,Hardcore,3,3,1,2221,0,0,3,0,31.3333
30,Hardcore,2,4,2,334,56,0,1,1,44.5
31,Hoarder,3,3,1,5848,0,0,3,0,7.3333
32,Hoarder,3,3,1,7868,0,0,3,0,12
33,Hoarder,2,4,1,3603,0,0,2,0,6.5
34,Hoarder,2,4,1,2422,0,0,2,0,16.5
35,Hoarder,2,4,2,6261,0,0,2,0,4.5
36,Hoarder,3,3,1.5,13681,0,0,3,0,11.6667
37,Hoarder,3,3,1.5,4999,0,0,3,0,5.6667
38,Hoarder,2,4,2,2231,0,0,2,0,15
39,Hoarder,2,4,1,2938,0,0,2,0,11.5
40,Hoarder,3,3,1,3861,0,0,3,0,14.6667
41,"Early Locker",2,4,0,663,0,0,2,0,33.5
42,"Early Locker",3,3,1,640,0,0,3,0,35.6667
43,"Early Locker",3,3,0,2781,0,0,3,0,18.6667
44,"Early Locker",5,1,0.25,3772,0,0,5,0,24
45,"Early Locker",6,0,0,2645,0,0,6,0,31.8333
46,"Early Locker",3,3,1,3048,0,0,3,0,19.3333
47,"Early Locker",5,1,0,3514,0,0,5,0,24
48,"Early Locker",2,4,1,1029,0,0,2,0,30.5
49,"Early Locker",0,6,0,0,0,0,0,0,0
50,"Early Locker",3,3,0,1907,0,0,3,0,23.3333
51,"Late Deployer",2,4,2,1223,0,0,2,0,24
52,"Late Deployer",3,3,1,3672,0,0,3,0,14.3333
53,"Late Deployer",1,5,0,823,0,0,1,0,18
54,"Late Deployer",2,4,2,180,112,0,0,2,43
55,"Late Deployer",2,4,1,776,0,0,2,0,30.5
56,"Late Deployer",2,4,2,3252,56,0,1,1,23.5
57,"Late Deployer",3,3,1.5,1724,0,0,3,0,27.3333
58,"Late Deployer",2,4,2,4082,0,0,2,0,6.5
59,"Late Deployer",2,4,2,543,0,0,2,0,34
60,"Late Deployer",2,4,1,648,56,0,1,1,37.5
61,Boost-Focused,4,2,0.6667,1144,56,0,3,1,35
62,Boost-Focused,2,4,2,2085,56,0,1,1,25.5
63,Boost-Focused,2,4,1,305,56,0,1,1,36.5
64,Boost-Focused,2,4,2,856,0,0,2,0,31.5
65,Boost-Focused,3,3,1,1532,0,0,3,0,28
66,Boost-Focused,2,4,1,2085,56,0,1,1,26
67,Boost-Focused,2,4,3,289,56,0,1,1,43
68,Boost-Focused,2,4,2,207,112,0,0,2,48.5
69,Boost-Focused,3,3,1,378,56,0,2,1,42.3333
70,Boost-Focused,3,3,1,2901,0,0,3,0,22.3333
71,Star-Focused,3,3,1.5,6545,0,0,3,0,5.6667
72,Star-Focused,3,3,1,4756,0,0,3,0,11
73,Star-Focused,3,3,1,7751,0,0,3,0,8.3333
74,Star-Focused,3,3,1.5,4609,0,0,3,0,11.3333
75,Star-Focused,1,5,0,701,0,0,1,0,21
76,Star-Focused,2,4,1,3149,0,0,2,0,13
77,Star-Focused,3,3,1,4734,0,0,3,0,8.3333
78,Star-Focused,2,4,4,1415,56,0,1,1,30
79,Star-Focused,1,5,0,1998,0,0,1,0,5
80,Star-Focused,3,3,1,5408,0,0,3,0,10.3333
81,"Aggressive Sigil User",2,4,1,1595,0,0,2,0,24
82,"Aggressive Sigil User",3,3,1,1679,0,0,3,0,27.6667
83,"Aggressive Sigil User",3,3,1,919,0,0,3,0,29
84,"Aggressive Sigil User",2,4,0,4062,0,0,2,0,8
85,"Aggressive Sigil User",1,5,0,2043,0,0,1,0,5
86,"Aggressive Sigil User",2,4,1,3479,0,0,2,0,10
87,"Aggressive Sigil User",3,3,1,1254,0,0,3,0,32
88,"Aggressive Sigil User",2,4,1,3492,0,0,2,0,8.5
89,"Aggressive Sigil User",3,3,1,868,0,0,3,0,35.6667
90,"Aggressive Sigil User",3,3,1.5,3310,0,0,3,0,16.3333
91,"Mostly Idle",2,4,2,1238,0,0,2,0,25.5
92,"Mostly Idle",3,3,1.5,2638,0,0,3,0,21
93,"Mostly Idle",2,4,1,457,0,0,2,0,39
94,"Mostly Idle",2,4,1,1529,0,0,2,0,23.5
95,"Mostly Idle",2,4,2,1988,0,0,2,0,19
96,"Mostly Idle",6,0,0,3062,0,0,6,0,29.6667
97,"Mostly Idle",2,4,0,2278,0,0,2,0,20.5
98,"Mostly Idle",2,4,2,1855,0,0,2,0,16.5
99,"Mostly Idle",1,5,0,1793,0,0,1,0,6
100,"Mostly Idle",3,3,0.5,3160,0,0,3,0,18
