archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,851,510,10,0,5529,0,0
Regular,10,2195,760,10,0,14271,0,1
Hardcore,10,839,282,7,3,5669,0,0
Hoarder,10,1906,1505,10,0,12387,0,0
"Early Locker",10,2143,1110,10,0,13925,0,0
"Late Deployer",10,1620,1761,10,0,10529,0,0
Boost-Focused,10,559,44,5,5,3990,0,0
Star-Focused,10,1692,1871,9,1,11064,0,0
"Aggressive Sigil User",10,1510,1030,9,1,9884,0,0
"Mostly Idle",10,1848,503,10,0,12007,0,0
