player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,3,1,3462,0,0,3,0,14.6667
2,Casual,3,3,1,1999,0,0,3,0,23.6667
3,Casual,2,4,3,1184,0,0,2,0,24.5
4,Casual,4,2,0.6667,4640,0,0,4,0,20.75
5,Casual,3,3,1.5,1380,0,0,3,0,30
6,Casual,2,4,2,2026,0,0,2,0,13
7,Casual,2,4,0,787,0,0,2,0,33
8,Casual,2,4,1,1504,0,0,2,0,18
9,Casual,5,1,0.25,2133,0,0,5,0,30.2
10,Casual,4,2,0,3333,0,0,4,0,18.75
11,Regular,4,2,0.3333,5406,0,0,4,0,10
12,Regular,2,4,1,1386,0,0,2,0,20
13,Regular,3,3,1,1821,0,0,3,0,24.6667
14,Regular,2,4,0,1748,0,0,2,0,16.5
15,Regular,2,4,1,191,0,0,2,0,47.5
16,Regular,2,4,2,840,0,0,2,0,33
17,Regular,2,4,1,1441,56,0,1,1,24
18,Regular,3,3,1,2344,0,0,3,0,24.6667
19,Regular,4,2,0.6667,3148,0,0,4,0,24
20,Regular,3,3,1,1883,0,0,3,0,27.6667
21,Hardcore,3,3,1,1728,0,0,3,0,26.3333
22,Hardcore,2,4,2,242,112,0,0,2,45.5
23,Hardcore,2,4,4,2100,56,0,1,1,32
24,Hardcore,3,3,1.5,509,56,0,2,1,42.3333
25,Hardcore,3,3,1,2883,0,0,3,0,23
26,Hardcore,2,4,1,316,0,0,2,0,43.5
27,Hardcore,3,3,1,397,0,0,3,0,36
28,Hardcore,3,3,1,2359,0,0,3,0,21
29,Hardcore,2,4,3,2299,0,0,2,0,19.5
30,Hardcore,3,3,1,905,0,0,3,0,36.3333
31,Hoarder,4,2,0.6667,8202,0,0,4,0,7
32,Hoarder,3,3,1.5,2931,0,0,3,0,21.3333
33,Hoarder,3,3,1,6071,0,0,3,0,7.6667
34,Hoarder,1,5,0,3614,0,0,1,0,1
35,Hoarder,2,4,1,2784,0,0,2,0,8.5
36,Hoarder,3,3,1,12186,0,0,3,0,8.3333
37,Hoarder,2,4,1,2171,0,0,2,0,20.5
38,Hoarder,3,3,1.5,6778,0,0,3,0,14
