archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1699,1007,10,0,11041,0,0
Regular,10,1473,1010,10,0,9573,0,0
Hardcore,10,624,138,7,3,4263,0,0
Hoarder,10,3059,2310,10,0,19880,0,0
"Early Locker",10,1260,1013,10,0,8191,0,0
"Late Deployer",10,1830,1860,9,1,11958,0,0
Boost-Focused,10,595,275,7,3,4070,0,0
Star-Focused,10,2991,2509,10,0,19439,0,0
"Aggressive Sigil User",10,1042,569,8,2,6903,0,0
"Mostly Idle",10,982,502,10,0,6378,0,0
