player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,2,0.6667,2847,0,0,4,0,24
2,Casual,4,2,0.6667,3792,0,0,4,0,20.5
3,Casual,3,3,1.5,2457,0,0,3,0,19
4,Casual,4,2,0.6667,3914,0,0,4,0,18.75
5,Casual,5,1,0.25,5644,0,0,5,0,16.6
6,Casual,1,5,0,332,0,0,1,0,20
7,Casual,3,3,1,6705,0,0,3,0,25.6667
8,Casual,3,3,1,1473,0,0,3,0,31
9,Casual,2,4,2,1479,0,0,2,0,21
10,Casual,2,4,2,341,0,0,2,0,38
11,Regular,3,3,1,3638,0,0,3,0,17.6667
12,Regular,3,3,1.5,830,56,0,2,1,42.3333
13,Regular,3,3,1,3417,0,0,3,0,24.3333
14,Regular,2,4,1,3013,0,0,2,0,13
15,Regular,2,4,2,1604,56,0,1,1,21.5
16,Regular,2,4,2,3446,0,0,2,0,9.5
17,Regular,4,2,0.3333,3966,0,0,4,0,19
18,Regular,2,4,2,567,0,0,2,0,28
19,Regular,2,4,1,1385,0,0,2,0,26
20,Regular,2,4,1,2172,0,0,2,0,10
21,Hardcore,2,4,1,1061,0,0,2,0,30
22,Hardcore,2,4,1,565,0,0,2,0,34.5
23,Hardcore,3,3,1.5,6186,0,0,3,0,27.3333
24,Hardcore,2,4,1,793,0,0,2,0,34.5
25,Hardcore,2,4,1,204,56,0,1,1,45
26,Hardcore,3,3,1,866,56,0,2,1,39.6667
27,Hardcore,3,3,1.5,585,56,0,2,1,38.3333
28,Hardcore,2,4,2,230,112,0,0,2,43
29,Hardcore,2,4,2,235,112,0,0,2,35
30,Hardcore,2,4,1,358,0,0,2,0,33.5
31,Hoarder,3,3,1,2891,0,0,3,0,18
32,Hoarder,4,2,0.6667,3081,0,0,4,0,24.25
33,Hoarder,3,3,1,4489,0,0,3,0,16
34,Hoarder,2,4,1,1669,0,0,2,0,23.5
35,Hoarder,2,4,1,4471,0,0,2,0,7
36,Hoarder,3,3,1.5,3022,0,0,3,0,16.6667
37,Hoarder,3,3,1,9586,0,0,3,0,5
38,Hoarder,3,3,1.5,2977,0,0,3,0,18
39,Hoarder,2,4,1,3786,0,0,2,0,10.5
40,Hoarder,1,5,0,749,0,0,1,0,27
41,"Early Locker",5,1,0,6381,0,0,5,0,13.8
42,"Early Locker",4,2,0.6667,5590,0,0,4,0,15
43,"Early Locker",2,4,3,2824,0,0,2,0,9.5
44,"Early Locker",2,4,2,1998,0,0,2,0,19.5
45,"Early Locker",3,3,1,13449,0,0,3,0,3.6667
46,"Early Locker",4,2,0.6667,10857,0,0,4,0,15.5
47,"Early Locker",4,2,0.6667,2477,0,0,4,0,21.25
48,"Early Locker",3,3,0.5,3604,0,0,3,0,17.6667
49,"Early Locker",4,2,0.6667,1105,0,0,4,0,35.5
50,"Early Locker",5,1,0,3102,0,0,5,0,23.4
51,"Late Deployer",2,4,3,3627,0,0,2,0,8
52,"Late Deployer",1,5,0,1963,0,0,1,0,2
53,"Late Deployer",3,3,1,2568,0,0,3,0,21.6667
54,"Late Deployer",2,4,1,1842,0,0,2,0,13
55,"Late Deployer",2,4,2,2107,0,0,2,0,18
56,"Late Deployer",1,5,0,1147,0,0,1,0,19
57,"Late Deployer",2,4,2,2291,0,0,2,0,16
58,"Late Deployer",2,4,4,1320,0,0,2,0,32.5
59,"Late Deployer",3,3,1,3150,0,0,3,0,13.3333
60,"Late Deployer",2,4,1,2976,0,0,2,0,8
61,Boost-Focused,2,4,1,378,0,0,2,0,33.5
62,Boost-Focused,3,3,1.5,1076,0,0,3,0,31.3333
63,Boost-Focused,3,3,1.5,1025,56,0,2,1,36.6667
64,Boost-Focused,2,4,1,910,0,0,2,0,24.5
65,Boost-Focused,3,3,1,889,0,0,3,0,35.6667
66,Boost-Focused,3,3,1.5,515,56,0,2,1,40.6667
67,Boost-Focused,2,4,3,1031,0,0,2,0,25
68,Boost-Focused,2,4,2,295,56,0,1,1,33.5
69,Boost-Focused,3,3,1,479,56,0,2,1,42
70,Boost-Focused,2,4,3,297,56,0,1,1,35.5
71,Star-Focused,3,3,1,3492,0,0,3,0,18.6667
72,Star-Focused,3,3,1,3782,0,0,3,0,19.6667
73,Star-Focused,3,3,1.5,2257,0,0,3,0,18.3333
74,Star-Focused,3,3,1,6414,0,0,3,0,8.6667
75,Star-Focused,1,5,0,3529,0,0,1,0,1
76,Star-Focused,3,3,1.5,2486,0,0,3,0,22.6667
77,Star-Focused,3,3,1,5275,0,0,3,0,10
78,Star-Focused,2,4,1,2954,0,0,2,0,17.5
