archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,992,1006,9,1,6509,0,0
Regular,10,1312,1064,10,0,8524,0,0
Hardcore,10,321,124,7,3,2296,0,0
Hoarder,10,2384,2411,10,0,15496,0,0
"Early Locker",10,1335,863,10,0,8676,0,0
"Late Deployer",10,1054,1010,10,0,6849,0,0
Boost-Focused,10,682,276,9,1,4501,0,2
Star-Focused,10,2267,2065,10,0,14731,0,0
"Aggressive Sigil User",10,1001,421,10,0,6502,0,0
"Mostly Idle",10,921,802,10,0,5988,0,0
