player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,2,0,2521,0,0,4,0,26.75
2,Casual,3,3,1,4961,0,0,3,0,15.3333
3,Casual,4,2,0.6667,5412,0,0,4,0,12.75
4,Casual,2,4,3,3619,0,0,2,0,9
5,Casual,4,2,0.3333,3002,0,0,4,0,22.25
6,Casual,1,5,0,495,0,0,1,0,25
7,Casual,4,2,0.3333,5124,0,0,4,0,12.75
8,Casual,3,3,0.5,2968,0,0,3,0,17.3333
9,Casual,2,4,2,1997,0,0,2,0,15
10,Casual,4,2,0.3333,3361,0,0,4,0,27.75
11,Regular,4,2,0.6667,5688,0,0,4,0,18
12,Regular,2,4,2,3171,0,0,2,0,11.5
13,Regular,3,3,1.5,751,56,0,2,1,38
14,Regular,3,3,1.5,3679,0,0,3,0,19.6667
15,Regular,3,3,0.5,1962,0,0,3,0,26
16,Regular,3,3,0.5,3129,0,0,3,0,16
17,Regular,2,4,2,1430,56,0,1,1,33.5
18,Regular,3,3,0.5,2670,0,0,3,0,27
19,Regular,3,3,0.5,2953,0,0,3,0,22.6667
20,Regular,2,4,1,3080,0,0,2,0,13
21,Hardcore,3,3,1.5,1569,56,0,2,1,31.3333
22,Hardcore,2,4,2,776,56,0,1,1,41
23,Hardcore,3,3,1.5,1225,0,0,3,0,33.3333
24,Hardcore,3,3,1,588,0,0,3,0,38.3333
25,Hardcore,2,4,1,301,56,0,1,1,36.5
26,Hardcore,3,3,1,1760,56,0,2,1,24.6667
27,Hardcore,2,4,2,222,112,0,0,2,48
28,Hardcore,3,3,1,2647,0,0,3,0,23.6667
29,Hardcore,3,3,1,590,0,0,3,0,37.6667
30,Hardcore,3,3,1.5,3609,56,0,2,1,25.6667
31,Hoarder,4,2,0.6667,7278,0,0,4,0,15.5
32,Hoarder,2,4,3,3950,0,0,2,0,9.5
33,Hoarder,3,3,0.5,3823,0,0,3,0,16.3333
34,Hoarder,2,4,2,3625,0,0,2,0,9
35,Hoarder,2,4,3,3784,0,0,2,0,11
36,Hoarder,2,4,1,3004,0,0,2,0,7
37,Hoarder,2,4,3,4042,0,0,2,0,9
38,Hoarder,2,4,1,2948,0,0,2,0,13
39,Hoarder,3,3,0.5,5933,0,0,3,0,8.3333
40,Hoarder,3,3,1.5,3511,0,0,3,0,24.6667
