archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1538,1004,10,0,9996,0,0
Regular,10,1723,1366,10,0,11194,0,0
Hardcore,10,514,283,9,1,3411,0,1
Hoarder,10,1985,2062,10,0,12899,0,0
"Early Locker",10,656,208,10,0,4265,0,0
"Late Deployer",10,2056,759,9,1,13422,0,0
Boost-Focused,10,231,37,6,4,1778,1,1
Star-Focused,10,3198,2071,10,0,20788,0,0
"Aggressive Sigil User",10,1302,1082,9,1,8531,0,1
"Mostly Idle",10,1101,1052,10,0,7156,0,0
