player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,4,2,2968,0,0,2,0,10
2,Casual,3,3,0,2288,0,0,3,0,24
3,Casual,3,3,1,1672,0,0,3,0,32
4,Casual,3,3,1.5,3108,0,0,3,0,22.3333
5,Casual,3,3,1.5,4073,0,0,3,0,24.3333
6,Casual,2,4,1,983,0,0,2,0,25.5
7,Casual,4,2,0.3333,3107,0,0,4,0,24.75
8,Casual,4,2,0.6667,2292,0,0,4,0,26.5
9,Casual,3,3,1,1539,0,0,3,0,28.3333
10,Casual,2,4,2,2157,0,0,2,0,16
11,Regular,4,2,0,4226,0,0,4,0,18.75
12,Regular,4,2,0.6667,3808,0,0,4,0,18.25
13,Regular,4,2,0.3333,3122,0,0,4,0,22
14,Regular,2,4,2,842,0,0,2,0,29.5
15,Regular,4,2,0.6667,4914,0,0,4,0,12.25
16,Regular,4,2,0.3333,4528,0,0,4,0,21.5
17,Regular,1,5,0,180,0,0,1,0,47
18,Regular,1,5,0,664,0,0,1,0,22
19,Regular,3,3,1.5,4048,56,0,2,1,21.6667
20,Regular,2,4,1,805,0,0,2,0,33
21,Hardcore,3,3,1.5,542,0,0,3,0,39.3333
22,Hardcore,3,3,1,1804,0,0,3,0,22
23,Hardcore,1,5,0,250,0,0,1,0,36
24,Hardcore,3,3,1,381,56,0,2,1,50
25,Hardcore,3,3,1,1620,0,0,3,0,21.3333
26,Hardcore,2,4,1,247,56,0,1,1,51
27,Hardcore,2,4,2,2258,0,0,2,0,18.5
28,Hardcore,3,3,1,1291,0,0,3,0,33
29,Hardcore,3,3,1,644,0,0,3,0,40.6667
30,Hardcore,3,3,1.5,329,56,0,2,1,46.6667
31,Hoarder,2,4,0,2971,0,0,2,0,7
32,Hoarder,1,5,0,1344,0,0,1,0,7
33,Hoarder,4,2,0.3333,4998,0,0,4,0,12.25
34,Hoarder,3,3,1,3717,0,0,3,0,13
35,Hoarder,3,3,1,3753,0,0,3,0,16
36,Hoarder,3,3,1,7474,0,0,3,0,2.6667
37,Hoarder,3,3,1.5,7059,0,0,3,0,14.6667
38,Hoarder,3,3,1,3250,0,0,3,0,19.6667
39,Hoarder,2,4,2,443,0,0,2,0,33.5
40,Hoarder,3,3,1,6076,0,0,3,0,8.3333
41,"Early Locker",4,2,0.3333,3862,0,0,4,0,18.75
42,"Early Locker",4,2,0.6667,2534,0,0,4,0,23.5
43,"Early Locker",6,0,0,2973,0,0,6,0,31.5
44,"Early Locker",2,4,1,904,0,0,2,0,31
45,"Early Locker",4,2,0,2047,0,0,4,0,29.5
46,"Early Locker",3,3,1,481,0,0,3,0,40.6667
47,"Early Locker",4,2,0,1426,0,0,4,0,34.75
48,"Early Locker",5,1,0.25,6510,0,0,5,0,14.8
49,"Early Locker",4,2,0.6667,4350,0,0,4,0,23.75
50,"Early Locker",5,1,0.25,5145,0,0,5,0,16
51,"Late Deployer",3,3,1.5,5130,0,0,3,0,8.6667
52,"Late Deployer",3,3,1,1759,0,0,3,0,26
53,"Late Deployer",2,4,2,582,56,0,1,1,41.5
54,"Late Deployer",3,3,1,3276,0,0,3,0,22
55,"Late Deployer",2,4,1,4437,0,0,2,0,2
56,"Late Deployer",3,3,1,2008,0,0,3,0,20.3333
57,"Late Deployer",1,5,0,89,56,0,0,1,53
58,"Late Deployer",3,3,1,2627,0,0,3,0,19.3333
59,"Late Deployer",2,4,1,1804,0,0,2,0,21.5
60,"Late Deployer",3,3,1.5,2183,0,0,3,0,30.3333
61,Boost-Focused,2,4,1,285,56,0,1,1,48.5
62,Boost-Focused,3,3,1,6339,0,0,3,0,27.3333
63,Boost-Focused,3,3,1,569,0,0,3,0,31.6667
64,Boost-Focused,2,4,1,295,56,0,1,1,33.5
65,Boost-Focused,2,4,1,225,56,0,1,1,35.5
66,Boost-Focused,2,4,3,187,56,0,1,1,53
67,Boost-Focused,2,4,2,1731,0,0,2,0,20.5
68,Boost-Focused,3,3,1.5,385,56,0,2,1,45.6667
69,Boost-Focused,3,3,1.5,493,56,0,2,1,40
70,Boost-Focused,2,4,2,866,0,0,2,0,29
71,Star-Focused,2,4,4,2504,0,0,2,0,17
72,Star-Focused,2,4,1,3935,0,0,2,0,8
73,Star-Focused,2,4,1,2336,0,0,2,0,20
74,Star-Focused,3,3,1,3524,0,0,3,0,17.3333
75,Star-Focused,3,3,1,4498,0,0,3,0,16
76,Star-Focused,3,3,1,5405,0,0,3,0,10.6667
77,Star-Focused,2,4,1,1422,0,0,2,0,25
78,Star-Focused,3,3,1,6646,0,0,3,0,10
79,Star-Focused,2,4,2,2079,0,0,2,0,18
80,Star-Focused,3,3,1.5,2227,0,0,3,0,24.6667
81,"Aggressive Sigil User",2,4,1,2963,0,0,2,0,10
82,"Aggressive Sigil User",2,4,4,1529,0,0,2,0,24.5
83,"Aggressive Sigil User",2,4,2,4270,0,0,2,0,9.5
84,"Aggressive Sigil User",1,5,0,101,56,0,0,1,52
85,"Aggressive Sigil User",3,3,1.5,2887,0,0,3,0,19.3333
86,"Aggressive Sigil User",3,3,1,2274,56,0,2,1,31.3333
87,"Aggressive Sigil User",2,4,1,784,0,0,2,0,33
88,"Aggressive Sigil User",3,3,1,2874,0,0,3,0,23.6667
89,"Aggressive Sigil User",2,4,1,2265,56,0,1,1,28
90,"Aggressive Sigil User",3,3,1,2826,0,0,3,0,26.6667
91,"Mostly Idle",3,3,1,2637,0,0,3,0,31.6667
92,"Mostly Idle",2,4,1,880,0,0,2,0,33
93,"Mostly Idle",2,4,2,2441,0,0,2,0,13
94,"Mostly Idle",2,4,1,2179,0,0,2,0,19
95,"Mostly Idle",2,4,2,1368,0,0,2,0,22.5
96,"Mostly Idle",4,2,0.3333,2863,0,0,4,0,25.5
97,"Mostly Idle",3,3,1.5,3127,0,0,3,0,19.6667
98,"Mostly Idle",3,3,0.5,2705,0,0,3,0,24.6667
99,"Mostly Idle",4,2,0.3333,2049,0,0,4,0,30.25
100,"Mostly Idle",1,5,0,261,0,0,1,0,39
