archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1810,1806,10,0,11758,0,0
Regular,10,2437,1157,10,0,15842,0,0
Hardcore,10,1325,124,6,4,8891,0,2
Hoarder,10,1877,1111,9,1,12265,0,0
"Early Locker",10,1086,1011,10,0,7056,0,0
"Late Deployer",10,539,259,6,4,3759,0,0
Boost-Focused,10,298,273,8,2,2076,0,2
Star-Focused,10,2323,2015,10,0,15095,0,0
"Aggressive Sigil User",10,921,1018,10,0,5984,0,0
"Mostly Idle",10,1212,803,10,0,7877,0,0
