player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,1,5,0,166,0,0,1,0,29
2,Casual,2,4,1,856,0,0,2,0,28
3,Casual,4,2,0.6667,1863,0,0,4,0,29.75
4,Casual,3,3,1.5,3203,0,0,3,0,16
5,Casual,3,3,1,8463,0,0,3,0,10.3333
6,Casual,3,3,1,2934,0,0,3,0,23
7,Casual,1,5,0,651,0,0,1,0,21
8,Casual,4,2,0.3333,6129,0,0,4,0,11
9,Casual,4,2,0.6667,3039,0,0,4,0,20.25
10,Casual,3,3,1.5,2451,0,0,3,0,25
11,Regular,2,4,3,2151,0,0,2,0,18
12,Regular,3,3,1,2238,0,0,3,0,21
13,Regular,2,4,1,966,0,0,2,0,33.5
14,Regular,3,3,1,3836,0,0,3,0,16
15,Regular,2,4,0,3955,0,0,2,0,5.5
16,Regular,2,4,1,2197,0,0,2,0,19
17,Regular,4,2,0.6667,2186,0,0,4,0,28
18,Regular,3,3,1,7414,0,0,3,0,14.6667
19,Regular,3,3,1.5,1499,0,0,3,0,28
20,Regular,3,3,1,1948,0,0,3,0,20.6667
21,Hardcore,3,3,1.5,425,112,0,1,2,37.3333
22,Hardcore,3,3,1,4174,0,0,3,0,24.6667
23,Hardcore,3,3,1,590,56,0,2,1,30.3333
24,Hardcore,3,3,1.5,1047,56,0,2,1,31
25,Hardcore,3,3,1,1076,0,0,3,0,23.3333
26,Hardcore,2,4,3,302,56,0,1,1,30.5
27,Hardcore,3,3,1,1703,0,0,3,0,31.6667
28,Hardcore,2,4,2,307,56,0,1,1,41.5
29,Hardcore,3,3,1,2645,0,0,3,0,28
30,Hardcore,3,3,1,624,0,0,3,0,38
31,Hoarder,3,3,1.5,6201,0,0,3,0,8
32,Hoarder,2,4,0,3172,0,0,2,0,11
33,Hoarder,3,3,1,6334,0,0,3,0,13.3333
34,Hoarder,2,4,1,4444,0,0,2,0,7.5
35,Hoarder,2,4,2,2339,0,0,2,0,22
36,Hoarder,2,4,3,2491,0,0,2,0,14.5
37,Hoarder,2,4,2,4085,0,0,2,0,6
38,Hoarder,3,3,1,5975,0,0,3,0,8
39,Hoarder,3,3,0.5,5379,0,0,3,0,8.3333
40,Hoarder,2,4,1,1678,0,0,2,0,21
