archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2829,1252,10,0,18388,0,0
Regular,10,1650,1310,10,0,10722,0,0
Hardcore,10,314,279,9,1,2113,0,0
Hoarder,10,2402,1270,10,0,15610,0,0
"Early Locker",10,1160,859,10,0,7535,0,0
"Late Deployer",10,1321,1011,10,0,8585,0,0
Boost-Focused,10,513,284,9,1,3406,0,0
Star-Focused,10,2744,2321,10,0,17832,0,0
"Aggressive Sigil User",10,1466,1069,10,0,9529,0,0
"Mostly Idle",10,1232,1003,10,0,8008,0,0
