player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,2,0.3333,4473,0,0,4,0,17.25
2,Casual,4,2,0.6667,2290,0,0,4,0,26.5
3,Casual,3,3,0.5,2619,0,0,3,0,17.3333
4,Casual,1,5,0,750,0,0,1,0,18
5,Casual,2,4,2,1705,0,0,2,0,26
6,Casual,5,1,0.25,2483,0,0,5,0,28.8
7,Casual,4,2,0.6667,3658,0,0,4,0,23.25
8,Casual,4,2,0.3333,5023,0,0,4,0,11.25
9,Casual,3,3,0.5,1897,0,0,3,0,25.6667
10,Casual,3,3,1,2325,0,0,3,0,19.3333
11,Regular,3,3,1.5,4491,0,0,3,0,14
12,Regular,2,4,3,3939,0,0,2,0,7.5
13,Regular,4,2,0.6667,2894,0,0,4,0,23.5
14,Regular,3,3,1,2018,0,0,3,0,21
15,Regular,3,3,1,1701,0,0,3,0,23.6667
16,Regular,2,4,3,1394,0,0,2,0,22
17,Regular,3,3,0.5,3031,0,0,3,0,16.6667
18,Regular,4,2,0.3333,2643,0,0,4,0,23.25
19,Regular,3,3,0.5,3058,0,0,3,0,17
20,Regular,4,2,0.3333,1739,0,0,4,0,30.25
21,Hardcore,2,4,1,281,0,0,2,0,45
22,Hardcore,3,3,1,554,56,0,2,1,37.6667
23,Hardcore,3,3,1,477,0,0,3,0,37.3333
24,Hardcore,1,5,0,119,56,0,0,1,35
25,Hardcore,3,3,1.5,314,112,0,1,2,49
26,Hardcore,2,4,2,293,0,0,2,0,30
27,Hardcore,3,3,1.5,709,56,0,2,1,41.3333
28,Hardcore,3,3,1.5,2164,56,0,2,1,35
29,Hardcore,3,3,1,702,0,0,3,0,35
30,Hardcore,1,5,0,111,56,0,0,1,46
31,Hoarder,3,3,1.5,5314,0,0,3,0,11.6667
32,Hoarder,3,3,1,4731,0,0,3,0,11.3333
33,Hoarder,2,4,2,2330,0,0,2,0,8.5
34,Hoarder,3,3,1.5,2091,0,0,3,0,27
35,Hoarder,3,3,0.5,5748,0,0,3,0,5.3333
36,Hoarder,3,3,1.5,2799,0,0,3,0,23.3333
37,Hoarder,2,4,1,2048,0,0,2,0,16.5
38,Hoarder,3,3,1.5,5389,0,0,3,0,12.3333
39,Hoarder,3,3,0.5,2134,0,0,3,0,25.6667
40,Hoarder,3,3,1.5,5519,0,0,3,0,10.3333
41,"Early Locker",2,4,2,1379,0,0,2,0,26.5
42,"Early Locker",4,2,0.3333,2503,0,0,4,0,20.75
43,"Early Locker",2,4,0,766,0,0,2,0,25.5
44,"Early Locker",5,1,0.25,5345,0,0,5,0,21.4
45,"Early Locker",5,1,0,8231,0,0,5,0,26.6
46,"Early Locker",6,0,0,3953,0,0,6,0,24
47,"Early Locker",2,4,0,3462,0,0,2,0,6
