archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1100,1253,10,0,7145,0,0
Regular,10,800,317,8,2,5332,0,1
Hardcore,10,580,282,10,0,3771,0,0
Hoarder,10,2480,2107,10,0,16121,0,0
"Early Locker",10,1205,1010,10,0,7828,0,0
"Late Deployer",10,643,311,8,2,4307,0,0
Boost-Focused,10,895,271,6,4,6091,0,1
Star-Focused,10,2702,2017,10,0,17563,0,0
"Aggressive Sigil User",10,1208,1031,9,1,7919,0,1
"Mostly Idle",10,1002,502,10,0,6507,0,0
