player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,2,0.6667,5442,0,0,4,0,15.75
2,Casual,4,2,0.6667,4736,0,0,4,0,16.5
3,Casual,3,3,1,2129,0,0,3,0,23.6667
4,Casual,3,3,0.5,1900,0,0,3,0,24.3333
5,Casual,2,4,3,1018,0,0,2,0,29
6,Casual,3,3,1,1674,0,0,3,0,36.6667
7,Casual,2,4,1,1800,0,0,2,0,13
8,Casual,2,4,1,1536,0,0,2,0,35.5
9,Casual,4,2,0.3333,2227,0,0,4,0,28.5
10,Casual,4,2,0.6667,4766,0,0,4,0,16.5
11,Regular,3,3,0.5,4491,0,0,3,0,14
12,Regular,3,3,1.5,11100,0,0,3,0,14.3333
13,Regular,2,4,1,2002,0,0,2,0,22.5
14,Regular,1,5,0,147,0,0,1,0,35
15,Regular,4,2,0.6667,3481,0,0,4,0,24.75
16,Regular,4,2,0.3333,4230,0,0,4,0,20.5
17,Regular,3,3,0.5,2940,0,0,3,0,16.6667
18,Regular,2,4,3,1017,0,0,2,0,21.5
19,Regular,3,3,1,1078,0,0,3,0,39.6667
20,Regular,2,4,1,3272,0,0,2,0,16
21,Hardcore,3,3,1,693,0,0,3,0,41.6667
22,Hardcore,3,3,1,1447,0,0,3,0,36.6667
23,Hardcore,3,3,1.5,417,56,0,2,1,45.6667
24,Hardcore,2,4,2,799,56,0,1,1,23.5
25,Hardcore,3,3,1.5,936,112,0,1,2,34.3333
26,Hardcore,2,4,2,1549,0,0,2,0,19
27,Hardcore,2,4,2,474,0,0,2,0,34
28,Hardcore,2,4,1,1648,56,0,1,1,14
29,Hardcore,3,3,1,1076,0,0,3,0,20.6667
30,Hardcore,3,3,1,394,56,0,2,1,47.3333
31,Hoarder,3,3,1,7838,0,0,3,0,8.3333
32,Hoarder,3,3,1,4383,0,0,3,0,12
33,Hoarder,2,4,1,3983,0,0,2,0,8
34,Hoarder,1,5,0,1698,0,0,1,0,2
35,Hoarder,2,4,2,1712,0,0,2,0,20.5
36,Hoarder,2,4,1,2539,0,0,2,0,6.5
37,Hoarder,3,3,1,4310,0,0,3,0,16.6667
38,Hoarder,4,2,0.6667,5971,0,0,4,0,14
39,Hoarder,3,3,1.5,5228,0,0,3,0,16
40,Hoarder,1,5,0,1371,0,0,1,0,19
41,"Early Locker",4,2,0.6667,2179,0,0,4,0,29
42,"Early Locker",3,3,1.5,3083,0,0,3,0,18
43,"Early Locker",2,4,0,991,0,0,2,0,24
44,"Early Locker",3,3,0.5,3825,0,0,3,0,13.6667
45,"Early Locker",2,4,4,1413,0,0,2,0,23.5
46,"Early Locker",5,1,0,6189,0,0,5,0,12.2
47,"Early Locker",4,2,0.3333,1986,0,0,4,0,28.25
48,"Early Locker",3,3,0.5,2755,0,0,3,0,22.3333
49,"Early Locker",3,3,1.5,1354,0,0,3,0,35
50,"Early Locker",2,4,1,1578,0,0,2,0,16.5
51,"Late Deployer",3,3,1,2336,0,0,3,0,35.3333
52,"Late Deployer",2,4,3,1967,0,0,2,0,22.5
53,"Late Deployer",3,3,1,2957,0,0,3,0,28.3333
54,"Late Deployer",2,4,1,6715,0,0,2,0,14.5
55,"Late Deployer",3,3,1,2761,0,0,3,0,12.6667
56,"Late Deployer",3,3,1,1597,56,0,2,1,37.3333
57,"Late Deployer",3,3,1.5,3770,0,0,3,0,19
58,"Late Deployer",3,3,1,4022,0,0,3,0,16
59,"Late Deployer",2,4,2,1610,0,0,2,0,14.5
60,"Late Deployer",3,3,1,1738,56,0,2,1,20
61,Boost-Focused,3,3,1,1044,0,0,3,0,40.3333
62,Boost-Focused,2,4,2,1383,0,0,2,0,25.5
63,Boost-Focused,2,4,4,326,56,0,1,1,39.5
64,Boost-Focused,3,3,1.5,394,112,0,1,2,46.6667
65,Boost-Focused,3,3,1,1090,0,0,3,0,22
66,Boost-Focused,3,3,1.5,1000,56,0,2,1,38.6667
67,Boost-Focused,1,5,0,118,56,0,0,1,26
68,Boost-Focused,2,4,3,223,112,0,0,2,31.5
69,Boost-Focused,1,5,0,107,56,0,0,1,46
70,Boost-Focused,2,4,1,205,56,0,1,1,24.5
71,Star-Focused,3,3,1.5,3724,0,0,3,0,11
72,Star-Focused,3,3,1,10021,0,0,3,0,13.3333
73,Star-Focused,3,3,1.5,3688,0,0,3,0,10.6667
74,Star-Focused,3,3,1.5,2640,0,0,3,0,24.6667
75,Star-Focused,3,3,1,3393,0,0,3,0,19.3333
76,Star-Focused,2,4,1,4677,0,0,2,0,5.5
77,Star-Focused,3,3,1,5310,0,0,3,0,9.6667
78,Star-Focused,2,4,3,5230,0,0,2,0,5
79,Star-Focused,2,4,1,3214,0,0,2,0,22.5
80,Star-Focused,2,4,1,3150,0,0,2,0,16.5
81,"Aggressive Sigil User",1,5,0,1983,0,0,1,0,3
82,"Aggressive Sigil User",2,4,1,947,0,0,2,0,34.5
83,"Aggressive Sigil User",2,4,1,2315,0,0,2,0,26.5
84,"Aggressive Sigil User",2,4,1,2469,0,0,2,0,24
85,"Aggressive Sigil User",3,3,1,2421,0,0,3,0,27
86,"Aggressive Sigil User",1,5,0,1969,0,0,1,0,8
87,"Aggressive Sigil User",2,4,3,1533,0,0,2,0,26.5
88,"Aggressive Sigil User",2,4,2,1654,0,0,2,0,27.5
89,"Aggressive Sigil User",1,5,0,96,56,0,0,1,56
90,"Aggressive Sigil User",3,3,1,2484,0,0,3,0,24
91,"Mostly Idle",2,4,1,1042,0,0,2,0,36.5
92,"Mostly Idle",2,4,3,1499,0,0,2,0,20.5
93,"Mostly Idle",1,5,0,653,0,0,1,0,17
94,"Mostly Idle",2,4,0,1237,0,0,2,0,23.5
95,"Mostly Idle",0,6,0,0,0,0,0,0,0
96,"Mostly Idle",2,4,1,978,0,0,2,0,23.5
97,"Mostly Idle",1,5,0,358,0,0,1,0,16
98,"Mostly Idle",4,2,0.3333,1698,0,0,4,0,26.75
99,"Mostly Idle",1,5,0,391,0,0,1,0,33
100,"Mostly Idle",2,4,3,4130,0,0,2,0,9
