archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1160,559,10,0,7543,0,0
Regular,10,1036,409,10,0,6730,0,0
Hardcore,10,808,294,9,1,5327,1,0
Hoarder,10,2336,1962,10,0,15185,0,0
"Early Locker",10,1298,1115,10,0,8433,0,0
"Late Deployer",10,973,760,9,1,6389,0,0
Boost-Focused,10,337,47,5,5,2553,0,0
Star-Focused,10,1922,1820,10,0,12490,0,0
"Aggressive Sigil User",10,1504,1575,10,0,9773,0,0
"Mostly Idle",10,1006,1003,10,0,6539,0,0
