player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,2,0.6667,2685,0,0,4,0,25.75
2,Casual,3,3,1,1584,0,0,3,0,27.3333
3,Casual,3,3,0.5,2065,0,0,3,0,24.6667
4,Casual,5,1,0.25,8276,0,0,5,0,17
5,Casual,1,5,0,656,0,0,1,0,29
6,Casual,3,3,1.5,3589,0,0,3,0,16.3333
7,Casual,2,4,3,2355,0,0,2,0,21
8,Casual,3,3,1,1735,0,0,3,0,29.6667
9,Casual,2,4,1,2457,0,0,2,0,11
10,Casual,4,2,0.6667,2625,0,0,4,0,26.5
11,Regular,3,3,1,2153,0,0,3,0,22.3333
12,Regular,3,3,0.5,7909,0,0,3,0,13.3333
13,Regular,2,4,3,2267,0,0,2,0,18.5
14,Regular,3,3,0.5,4752,0,0,3,0,15
15,Regular,4,2,0.6667,5025,0,0,4,0,17
16,Regular,4,2,0.6667,3514,0,0,4,0,21.75
17,Regular,1,5,0,1537,0,0,1,0,8
18,Regular,2,4,1,4580,0,0,2,0,3.5
19,Regular,2,4,2,2068,56,0,1,1,23
20,Regular,2,4,1,1394,0,0,2,0,25.5
21,Hardcore,3,3,1.5,339,0,0,3,0,40.3333
22,Hardcore,3,3,1,876,56,0,2,1,31.3333
23,Hardcore,2,4,2,6015,56,0,1,1,22.5
24,Hardcore,2,4,1,1029,0,0,2,0,28.5
25,Hardcore,3,3,1.5,627,0,0,3,0,36.6667
26,Hardcore,3,3,1.5,3094,0,0,3,0,20.6667
27,Hardcore,3,3,1.5,967,56,0,2,1,36
28,Hardcore,3,3,1.5,3824,0,0,3,0,16.3333
29,Hardcore,2,4,2,823,56,0,1,1,27.5
30,Hardcore,3,3,1,2576,0,0,3,0,20
31,Hoarder,2,4,0,3261,0,0,2,0,12.5
32,Hoarder,4,2,0.6667,5701,0,0,4,0,14
33,Hoarder,3,3,1.5,7850,0,0,3,0,8.3333
