archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2141,2256,10,0,13912,0,0
Regular,10,1307,1015,9,1,8557,0,1
Hardcore,10,1680,329,7,3,11133,0,0
Hoarder,10,3145,2311,10,0,20440,0,0
"Early Locker",10,1236,959,10,0,8033,0,0
"Late Deployer",10,2523,2009,8,2,16524,0,0
Boost-Focused,10,841,276,7,3,5679,0,0
Star-Focused,10,3609,3271,10,0,23460,0,0
"Aggressive Sigil User",10,2178,1170,10,0,14154,0,0
"Mostly Idle",10,1057,601,10,0,6865,0,0
