archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2714,2008,10,0,17641,0,0
Regular,10,1567,1058,9,1,10251,0,0
Hardcore,10,319,284,7,3,2285,0,0
Hoarder,10,3079,3010,10,0,20013,0,0
"Early Locker",10,1830,459,10,0,11892,0,0
"Late Deployer",10,877,759,9,1,5763,0,1
Boost-Focused,10,789,40,6,4,5406,0,1
Star-Focused,10,1858,1069,10,0,12078,0,0
"Aggressive Sigil User",10,1482,1272,10,0,9629,1,0
"Mostly Idle",10,1036,751,10,0,6734,0,0
