archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,825,552,10,0,5362,0,0
Regular,10,1149,1118,9,1,7535,1,1
Hardcore,10,652,279,8,2,4380,0,0
Hoarder,10,3868,3004,10,0,25139,0,0
"Early Locker",10,1363,1163,10,0,8857,0,0
"Late Deployer",10,969,864,9,1,6361,0,1
Boost-Focused,10,395,44,4,6,2993,0,1
Star-Focused,10,3011,2772,10,0,19567,0,0
"Aggressive Sigil User",10,1770,675,10,0,11505,0,0
"Mostly Idle",10,1293,1006,10,0,8400,0,0
