player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,3,1.5,2221,0,0,3,0,27.3333
2,Casual,3,3,0,2415,0,0,3,0,19.3333
3,Casual,2,4,0,411,56,0,1,1,35.5
4,Casual,2,4,1,1021,0,0,2,0,27
5,Casual,3,3,1,1651,0,0,3,0,21.6667
6,Casual,1,5,0,2315,0,0,1,0,5
7,Casual,2,4,3,1567,0,0,2,0,21
8,Casual,3,3,0.5,3364,0,0,3,0,18
9,Casual,4,2,0.6667,3988,0,0,4,0,16
10,Casual,3,3,1,7984,0,0,3,0,12.6667
11,Regular,5,1,0.25,2861,0,0,5,0,26.2
12,Regular,4,2,0.6667,2162,0,0,4,0,29.25
13,Regular,4,2,0.3333,7720,0,0,4,0,8.25
14,Regular,2,4,3,1691,0,0,2,0,12
15,Regular,3,3,1,2056,0,0,3,0,19.6667
16,Regular,1,5,0,365,0,0,1,0,33
17,Regular,2,4,4,1494,0,0,2,0,25
18,Regular,1,5,0,1314,0,0,1,0,10
19,Regular,3,3,1,4250,0,0,3,0,15.3333
20,Regular,3,3,1,865,0,0,3,0,31.3333
21,Hardcore,2,4,3,2217,0,0,2,0,19
22,Hardcore,2,4,1,232,56,0,1,1,48.5
23,Hardcore,3,3,1.5,870,0,0,3,0,39
24,Hardcore,3,3,1.5,6107,56,0,2,1,27.3333
25,Hardcore,2,4,1,835,56,0,1,1,35.5
26,Hardcore,3,3,1,1803,0,0,3,0,27.3333
27,Hardcore,3,3,1,6306,0,0,3,0,28
28,Hardcore,3,3,1.5,1668,56,0,2,1,28.6667
29,Hardcore,3,3,1,2206,0,0,3,0,22.3333
30,Hardcore,2,4,2,243,112,0,0,2,49.5
31,Hoarder,4,2,0.6667,4685,0,0,4,0,17
32,Hoarder,2,4,2,4158,0,0,2,0,11
33,Hoarder,3,3,1.5,1751,0,0,3,0,30.6667
34,Hoarder,2,4,2,2911,0,0,2,0,12.5
35,Hoarder,2,4,1,4664,0,0,2,0,7
36,Hoarder,2,4,1,2000,0,0,2,0,18.5
37,Hoarder,3,3,1,6660,0,0,3,0,4
38,Hoarder,3,3,1,5697,0,0,3,0,7
39,Hoarder,2,4,1,7044,0,0,2,0,2
40,Hoarder,4,2,0.3333,6648,0,0,4,0,12.75
41,"Early Locker",5,1,0.25,2936,0,0,5,0,28
42,"Early Locker",6,0,0,7896,0,0,6,0,19.1667
43,"Early Locker",3,3,0.5,1877,0,0,3,0,24.3333
44,"Early Locker",3,3,0.5,3702,0,0,3,0,21
45,"Early Locker",4,2,0.6667,4720,0,0,4,0,16.25
46,"Early Locker",3,3,0,2305,0,0,3,0,24
47,"Early Locker",5,1,0,4116,0,0,5,0,19.8
48,"Early Locker",4,2,0.6667,2701,0,0,4,0,21.25
49,"Early Locker",1,5,0,760,0,0,1,0,24
50,"Early Locker",6,0,0,3111,0,0,6,0,27.6667
51,"Late Deployer",2,4,3,2196,0,0,2,0,16
52,"Late Deployer",2,4,1,1330,0,0,2,0,21
53,"Late Deployer",3,3,1,2475,0,0,3,0,22
54,"Late Deployer",3,3,1.5,1202,0,0,3,0,35
55,"Late Deployer",3,3,1,2858,0,0,3,0,16
56,"Late Deployer",3,3,1,9168,0,0,3,0,7
57,"Late Deployer",3,3,1,3000,0,0,3,0,32.3333
58,"Late Deployer",3,3,1.5,1314,56,0,2,1,35.3333
59,"Late Deployer",2,4,3,1884,56,0,1,1,36
60,"Late Deployer",2,4,2,1840,0,0,2,0,29
61,Boost-Focused,2,4,1,336,56,0,1,1,37
62,Boost-Focused,3,3,1.5,8076,0,0,3,0,14.6667
63,Boost-Focused,3,3,1,2083,0,0,3,0,26
64,Boost-Focused,3,3,1,508,0,0,3,0,41
65,Boost-Focused,2,4,2,239,112,0,0,2,34
66,Boost-Focused,3,3,1,6209,56,0,2,1,31.3333
67,Boost-Focused,3,3,1.5,495,56,0,2,1,43.6667
68,Boost-Focused,2,4,2,203,56,0,1,1,39
69,Boost-Focused,2,4,2,224,112,0,0,2,50.5
70,Boost-Focused,1,5,0,221,0,0,1,0,31
71,Star-Focused,3,3,1.5,4052,0,0,3,0,13
72,Star-Focused,2,4,2,4001,0,0,2,0,8
73,Star-Focused,3,3,1,4057,0,0,3,0,20.6667
74,Star-Focused,2,4,3,2866,0,0,2,0,16
75,Star-Focused,3,3,1.5,4606,0,0,3,0,13.3333
76,Star-Focused,3,3,1.5,7012,0,0,3,0,16
77,Star-Focused,3,3,1,3145,0,0,3,0,23.6667
78,Star-Focused,3,3,1.5,1747,0,0,3,0,29.6667
79,Star-Focused,3,3,1,3340,0,0,3,0,18.6667
80,Star-Focused,2,4,1,1466,0,0,2,0,22.5
81,"Aggressive Sigil User",3,3,1.5,1817,0,0,3,0,30
82,"Aggressive Sigil User",2,4,2,1018,0,0,2,0,22
83,"Aggressive Sigil User",3,3,1,2432,0,0,3,0,21.3333
84,"Aggressive Sigil User",3,3,1.5,2106,56,0,2,1,28
85,"Aggressive Sigil User",2,4,1,846,56,0,1,1,27.5
86,"Aggressive Sigil User",2,4,2,8759,0,0,2,0,4.5
87,"Aggressive Sigil User",1,5,0,114,56,0,0,1,32
88,"Aggressive Sigil User",3,3,1,2079,0,0,3,0,26
89,"Aggressive Sigil User",3,3,1.5,3681,0,0,3,0,16.6667
90,"Aggressive Sigil User",2,4,1,204,56,0,1,1,36
91,"Mostly Idle",2,4,2,2833,0,0,2,0,13
92,"Mostly Idle",1,5,0,490,0,0,1,0,29
93,"Mostly Idle",3,3,1,1372,0,0,3,0,32.3333
94,"Mostly Idle",3,3,0.5,1961,0,0,3,0,22.6667
95,"Mostly Idle",0,6,0,0,0,0,0,0,0
96,"Mostly Idle",2,4,1,1532,0,0,2,0,21.5
97,"Mostly Idle",3,3,0.5,1631,0,0,3,0,32.3333
98,"Mostly Idle",1,5,0,261,0,0,1,0,30
99,"Mostly Idle",1,5,0,167,0,0,1,0,36
100,"Mostly Idle",1,5,0,170,0,0,1,0,35
