archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1355,1058,10,0,8805,0,0
Regular,10,1263,1067,10,0,8207,0,0
Hardcore,10,620,331,7,3,4245,0,0
Hoarder,10,2786,2068,10,0,18108,0,0
"Early Locker",10,958,1015,10,0,6227,0,0
"Late Deployer",10,3576,2007,10,0,23241,0,0
Boost-Focused,10,409,45,6,4,2940,0,1
Star-Focused,10,2740,2521,10,0,17808,0,0
"Aggressive Sigil User",10,1587,1071,10,0,10313,0,0
"Mostly Idle",10,1122,1002,10,0,7288,0,0
