player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,2,0.3333,3498,0,0,4,0,20.25
2,Casual,2,4,0,1405,0,0,2,0,22
3,Casual,2,4,1,1273,0,0,2,0,25
4,Casual,3,3,1,3951,0,0,3,0,13
5,Casual,4,2,0.6667,5742,0,0,4,0,12.25
6,Casual,2,4,3,824,0,0,2,0,29.5
7,Casual,3,3,1,1801,0,0,3,0,23.6667
8,Casual,4,2,0.6667,2525,0,0,4,0,24.75
9,Casual,4,2,0.6667,6555,0,0,4,0,13.75
10,Casual,3,3,1.5,3296,0,0,3,0,14.6667
11,Regular,4,2,0.6667,4398,0,0,4,0,21.5
12,Regular,4,2,0,7036,0,0,4,0,10
13,Regular,3,3,1.5,2541,0,0,3,0,21.3333
14,Regular,2,4,2,2050,0,0,2,0,16
15,Regular,4,2,0.3333,1613,0,0,4,0,29.5
16,Regular,4,2,0.6667,5809,0,0,4,0,12
17,Regular,2,4,1,1812,0,0,2,0,19
18,Regular,2,4,1,778,0,0,2,0,33.5
19,Regular,4,2,0.3333,1953,0,0,4,0,26.75
20,Regular,3,3,1,5729,0,0,3,0,9.3333
21,Hardcore,2,4,3,1094,56,0,1,1,28.5
22,Hardcore,3,3,1,945,56,0,2,1,33.6667
23,Hardcore,2,4,1,392,0,0,2,0,35
24,Hardcore,3,3,1,704,56,0,2,1,34.6667
25,Hardcore,2,4,1,448,0,0,2,0,32.5
26,Hardcore,3,3,1.5,609,56,0,2,1,38.6667
27,Hardcore,3,3,1.5,528,0,0,3,0,35.6667
28,Hardcore,3,3,1.5,1250,0,0,3,0,28.3333
29,Hardcore,3,3,1,2455,0,0,3,0,20
30,Hardcore,2,4,4,243,56,0,1,1,42
31,Hoarder,3,3,1,8486,0,0,3,0,2.3333
32,Hoarder,2,4,2,2455,0,0,2,0,12.5
33,Hoarder,1,5,0,1475,0,0,1,0,10
34,Hoarder,3,3,1.5,7146,0,0,3,0,4
35,Hoarder,2,4,1,4704,0,0,2,0,7
36,Hoarder,3,3,1,4453,0,0,3,0,8.6667
37,Hoarder,3,3,1.5,4486,0,0,3,0,13.3333
38,Hoarder,1,5,0,1366,0,0,1,0,11
39,Hoarder,1,5,0,1504,0,0,1,0,9
40,Hoarder,2,4,1,3157,0,0,2,0,9
41,"Early Locker",2,4,1,1124,0,0,2,0,25.5
42,"Early Locker",3,3,1,2598,0,0,3,0,22
43,"Early Locker",3,3,0.5,1712,0,0,3,0,24
44,"Early Locker",3,3,0.5,3557,0,0,3,0,17
45,"Early Locker",2,4,1,834,0,0,2,0,32
46,"Early Locker",3,3,0.5,2059,0,0,3,0,23
47,"Early Locker",2,4,1,1350,0,0,2,0,25.5
48,"Early Locker",3,3,1,1430,0,0,3,0,26
49,"Early Locker",2,4,0,3020,0,0,2,0,11
50,"Early Locker",1,5,0,822,0,0,1,0,14
51,"Late Deployer",1,5,0,1179,0,0,1,0,17
52,"Late Deployer",2,4,1,1159,0,0,2,0,26
53,"Late Deployer",3,3,1,1726,0,0,3,0,25
54,"Late Deployer",1,5,0,269,0,0,1,0,31
