archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,2028,2012,3,0,3954,0,0
Regular,3,2434,2274,3,0,4745,0,0
Hardcore,3,331,349,3,0,645,0,0
Hoarder,3,2082,1470,3,0,4059,0,0
"Early Locker",3,778,213,3,0,1517,0,0
"Late Deployer",3,1583,816,3,0,3086,0,0
Boost-Focused,3,212,286,2,1,488,0,0
Star-Focused,3,3827,2276,3,0,7461,0,0
"Aggressive Sigil User",3,1330,1079,3,0,2593,0,0
"Mostly Idle",3,705,555,3,0,1373,0,0
