archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,759,759,1,0,493,0,0
Regular,1,2532,2532,1,0,1645,0,0
Hardcore,1,3057,3057,1,0,1987,0,0
Hoarder,1,1172,1172,1,0,761,0,0
"Early Locker",1,865,865,1,0,562,0,0
"Late Deployer",1,771,771,1,0,501,0,0
Boost-Focused,1,549,549,1,0,356,0,0
Star-Focused,1,2636,2636,1,0,1713,0,0
"Aggressive Sigil User",1,3090,3090,1,0,2008,0,0
"Mostly Idle",1,504,504,1,0,327,0,0
