player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,5,3,0.25,5625,0,0,5,0,5.4
2,Casual,4,4,0.6667,4222,0,0,4,0,4.25
3,Casual,6,2,0.4,4721,0,0,6,0,7.8333
4,Regular,5,3,0.75,4809,0,0,5,0,6.2
5,Regular,2,6,2,1984,0,0,2,0,8.5
6,Regular,3,5,2,4728,0,0,3,0,5.6667
7,Hardcore,4,4,1,1379,0,0,4,0,9.25
8,Hardcore,2,6,1,6154,0,0,2,0,4
9,Hardcore,3,5,1,1668,56,0,2,1,8.6667
10,Hoarder,3,5,1,2573,0,0,3,0,5.6667
11,Hoarder,3,5,1.5,6072,0,0,3,0,4
12,Hoarder,2,6,1,5318,0,0,2,0,2.5
13,"Early Locker",2,6,4,2077,0,0,2,0,6.5
14,"Early Locker",4,4,1,9021,0,0,4,0,4.75
15,"Early Locker",5,3,0.5,2724,0,0,5,0,6.6
16,"Late Deployer",3,5,2,3971,0,0,3,0,4.3333
17,"Late Deployer",3,5,1,1498,0,0,3,0,10
18,"Late Deployer",2,6,4,2561,0,0,2,0,5.5
19,Boost-Focused,3,5,1.5,597,112,0,1,2,9.6667
20,Boost-Focused,4,4,1.3333,977,112,0,2,2,10.5
21,Boost-Focused,2,6,3,239,112,0,0,2,12
22,Star-Focused,4,4,1.3333,6587,0,0,4,0,3.5
23,Star-Focused,3,5,1.5,4204,0,0,3,0,4.3333
24,Star-Focused,4,4,1,8111,0,0,4,0,3.75
25,"Aggressive Sigil User",3,5,1.5,1582,56,0,2,1,11
26,"Aggressive Sigil User",3,5,1.5,1624,56,0,2,1,10.3333
27,"Aggressive Sigil User",3,5,2.5,2341,56,0,2,1,8
28,"Mostly Idle",2,6,6,1533,0,0,2,0,10
29,"Mostly Idle",4,4,0.3333,2286,0,0,4,0,8.5
30,"Mostly Idle",2,6,1,1239,0,0,2,0,8
