player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,1,3,0,200,0,0,1,0,4
2,Regular,3,1,0,2183,0,0,3,0,3
3,Hardcore,2,2,1,8566,0,0,2,0,1
4,Hoarder,2,2,1,1000,0,0,2,0,3.5
5,"Early Locker",3,1,0,1687,0,0,3,0,3.6667
6,"Late Deployer",2,2,1,587,0,0,2,0,4.5
7,Boost-Focused,2,2,1,975,56,0,1,1,3.5
8,Star-Focused,2,2,1,5543,0,0,2,0,1.5
9,"Aggressive Sigil User",2,2,1,7396,56,0,1,1,3
10,"Mostly Idle",2,2,1,1274,0,0,2,0,4.5
