archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,1710,1617,3,0,3334,0,0
Regular,3,839,1113,3,0,1636,0,0
Hardcore,3,736,1050,2,1,1513,0,0
Hoarder,3,2089,2563,3,0,4073,0,0
"Early Locker",3,1998,1016,3,0,3896,0,0
"Late Deployer",3,973,326,3,0,1897,0,0
Boost-Focused,3,300,299,2,1,659,0,0
Star-Focused,3,1714,1580,3,0,3342,0,0
"Aggressive Sigil User",3,1114,1027,3,0,2172,0,0
"Mostly Idle",3,2939,2512,3,0,5729,0,0
