archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,858,858,1,0,557,0,0
Regular,1,229,229,1,0,148,0,0
Hardcore,1,323,323,1,0,209,0,1
Hoarder,1,2071,2071,1,0,1346,0,0
"Early Locker",1,1319,1319,1,0,857,0,0
"Late Deployer",1,2769,2769,1,0,1799,0,0
Boost-Focused,1,301,301,1,0,195,0,0
Star-Focused,1,303,303,1,0,196,0,1
"Aggressive Sigil User",1,290,290,1,0,188,0,0
"Mostly Idle",1,1504,1504,1,0,977,0,0
