player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,5,1.5,2170,0,0,3,0,8
2,Casual,4,4,0.6667,2019,56,0,3,1,7.25
3,Casual,4,4,1,4866,0,0,4,0,5
4,Regular,2,6,3,3152,0,0,2,0,2.5
5,Regular,3,5,1,2633,0,0,3,0,6
6,Regular,3,5,2,3334,0,0,3,0,6
7,Hardcore,3,5,1,1035,56,0,2,1,10.3333
8,Hardcore,3,5,2,1030,112,0,1,2,10.3333
9,Hardcore,4,4,1.3333,584,112,0,2,2,9.75
10,Hoarder,3,5,1,4506,56,0,2,1,6
11,Hoarder,4,4,1.3333,4887,0,0,4,0,3.75
12,Hoarder,3,5,1.5,9854,0,0,3,0,2.6667
13,"Early Locker",3,5,0.5,1269,0,0,3,0,10.3333
14,"Early Locker",4,4,1,4380,0,0,4,0,6
15,"Early Locker",5,3,0.25,5104,0,0,5,0,5
16,"Late Deployer",4,4,1,4808,0,0,4,0,4.25
17,"Late Deployer",2,6,4,438,56,0,1,1,7.5
18,"Late Deployer",3,5,1.5,6776,56,0,2,1,7.6667
19,Boost-Focused,4,4,1.3333,646,112,0,2,2,9
20,Boost-Focused,3,5,2,413,56,0,2,1,9.6667
21,Boost-Focused,4,4,1,1708,0,0,4,0,8.25
22,Star-Focused,3,5,2,7475,0,0,3,0,2
23,Star-Focused,4,4,1,7210,0,0,4,0,3
24,Star-Focused,2,6,1,1696,0,0,2,0,5
25,"Aggressive Sigil User",2,6,5,883,0,0,2,0,10.5
26,"Aggressive Sigil User",3,5,1.5,2289,56,0,2,1,6.3333
27,"Aggressive Sigil User",4,4,1.3333,6904,0,0,4,0,2.75
28,"Mostly Idle",2,6,2,621,0,0,2,0,10.5
29,"Mostly Idle",1,7,0,228,0,0,1,0,5
30,"Mostly Idle",1,7,0,913,0,0,1,0,5
