player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,0,0,3045,0,0,4,0,3.75
2,Regular,2,2,1,1536,0,0,2,0,4.5
3,Hardcore,2,2,1,370,56,0,1,1,6
4,Hoarder,2,2,1,2964,0,0,2,0,2.5
5,"Early Locker",3,1,0,2292,0,0,3,0,3.3333
6,"Late Deployer",2,2,1,1716,0,0,2,0,2
7,Boost-Focused,1,3,0,679,0,0,1,0,1
8,Star-Focused,2,2,1,7393,0,0,2,0,1
9,"Aggressive Sigil User",1,3,0,1457,0,0,1,0,2
10,"Mostly Idle",2,2,0,982,0,0,2,0,4.5
