archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,1042,556,3,0,2031,0,0
Regular,3,2542,1275,3,0,4957,0,0
Hardcore,3,768,191,2,1,1577,0,0
Hoarder,3,1845,2115,3,0,3596,0,0
"Early Locker",3,1917,1323,3,0,3737,0,0
"Late Deployer",3,1438,1768,2,1,2872,0,0
Boost-Focused,3,3839,1288,3,0,7486,0,0
Star-Focused,3,2460,3028,3,0,4797,0,0
"Aggressive Sigil User",3,1808,2182,2,1,3600,0,0
"Mostly Idle",3,1789,1811,3,0,3488,0,0
