player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,6,2,1022,0,0,2,0,10.5
2,Casual,2,6,4,1707,0,0,2,0,4
3,Casual,4,4,0.3333,2756,0,0,4,0,8
4,Regular,4,4,1,2276,0,0,4,0,7.25
5,Regular,4,4,1,7092,0,0,4,0,4.25
6,Regular,4,4,0.6667,2898,0,0,4,0,8
7,Hardcore,3,5,1.5,2233,112,0,1,2,9
8,Hardcore,2,6,3,251,112,0,0,2,12.5
9,Hardcore,4,4,1.3333,2955,56,0,3,1,8.25
10,Hoarder,3,5,1,5818,0,0,3,0,2.3333
11,Hoarder,4,4,1.3333,5077,0,0,4,0,4.25
12,Hoarder,3,5,1.5,7736,0,0,3,0,1.6667
13,"Early Locker",5,3,0.25,3318,0,0,5,0,7.8
14,"Early Locker",6,2,0.2,4426,0,0,6,0,7.1667
15,"Early Locker",4,4,0.6667,3671,0,0,4,0,6
16,"Late Deployer",3,5,2,2711,0,0,3,0,6.3333
17,"Late Deployer",3,5,2,4336,0,0,3,0,5
18,"Late Deployer",3,5,1.5,999,56,0,2,1,10
19,Boost-Focused,3,5,2,7007,0,0,3,0,4.3333
20,Boost-Focused,4,4,1.3333,1133,56,0,3,1,9.5
21,Boost-Focused,2,6,2,307,56,0,1,1,10.5
22,Star-Focused,3,5,1.5,4715,0,0,3,0,3.6667
23,Star-Focused,2,6,4,2904,0,0,2,0,6.5
24,Star-Focused,2,6,2,2643,0,0,2,0,5.5
25,"Aggressive Sigil User",4,4,1,2503,56,0,3,1,7.5
26,"Aggressive Sigil User",4,4,1,1871,0,0,4,0,8
27,"Aggressive Sigil User",3,5,2,2946,0,0,3,0,5
28,"Mostly Idle",1,7,0,1236,0,0,1,0,4
29,"Mostly Idle",7,1,0.1667,4596,0,0,7,0,6.7143
30,"Mostly Idle",1,7,0,165,0,0,1,0,11
