archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,1006,758,3,0,1961,0,0
Regular,3,1097,1070,3,0,2139,0,0
Hardcore,3,735,1045,2,1,1512,0,0
Hoarder,3,3287,1973,3,0,6409,0,0
"Early Locker",3,814,1013,3,0,1586,0,0
"Late Deployer",3,838,219,2,1,1701,0,0
Boost-Focused,3,414,147,2,1,883,0,0
Star-Focused,3,1078,1179,3,0,2102,0,0
"Aggressive Sigil User",3,1115,1081,3,0,2173,0,0
"Mostly Idle",3,1004,1151,3,0,1958,0,0
