player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,4,0.6667,4658,0,0,4,0,4.75
2,Casual,4,4,0,2849,0,0,4,0,8.5
3,Casual,2,6,0,1803,0,0,2,0,6.5
4,Regular,4,4,1,4338,56,0,3,1,7.75
5,Regular,3,5,0.5,1633,0,0,3,0,8.6667
6,Regular,4,4,1,1468,0,0,4,0,10.5
7,Hardcore,4,4,1,1432,56,0,3,1,11
8,Hardcore,4,4,1,1969,0,0,4,0,9
9,Hardcore,3,5,2,2404,56,0,2,1,9.6667
10,Hoarder,3,5,0.5,3790,0,0,3,0,4.6667
11,Hoarder,4,4,1,8253,0,0,4,0,2.25
12,Hoarder,4,4,1.3333,5924,0,0,4,0,4.5
13,"Early Locker",6,2,0.4,4609,0,0,6,0,6.8333
14,"Early Locker",4,4,0.6667,1287,0,0,4,0,11.5
15,"Early Locker",4,4,1,3133,0,0,4,0,7
16,"Late Deployer",4,4,1.3333,4324,56,0,3,1,7.25
17,"Late Deployer",3,5,1.5,1292,56,0,2,1,9.3333
18,"Late Deployer",2,6,5,1649,0,0,2,0,8
19,Boost-Focused,3,5,1.5,1057,56,0,2,1,9.3333
20,Boost-Focused,2,6,2,866,0,0,2,0,9.5
21,Boost-Focused,4,4,1.3333,1981,0,0,4,0,9.5
22,Star-Focused,3,5,2,5176,0,0,3,0,4
23,Star-Focused,3,5,1.5,8223,0,0,3,0,2
24,Star-Focused,3,5,1,3382,0,0,3,0,5.6667
25,"Aggressive Sigil User",5,3,0.75,6130,0,0,5,0,6.2
26,"Aggressive Sigil User",3,5,2,2857,0,0,3,0,8.6667
27,"Aggressive Sigil User",4,4,1.3333,9056,0,0,4,0,4.25
28,"Mostly Idle",5,3,0.75,4238,0,0,5,0,8.2
29,"Mostly Idle",2,6,3,2407,0,0,2,0,4
30,"Mostly Idle",3,5,1.5,1729,0,0,3,0,9
