archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,1090,1008,3,0,2125,0,0
Regular,3,347,313,3,0,676,0,0
Hardcore,3,3215,297,3,0,6269,0,0
Hoarder,3,4150,3819,3,0,8092,0,0
"Early Locker",3,1087,1030,3,0,2120,0,0
"Late Deployer",3,1885,1517,3,0,3676,0,0
Boost-Focused,3,497,55,1,2,1119,0,0
Star-Focused,3,2060,1376,3,0,4017,0,0
"Aggressive Sigil User",3,1835,2284,3,0,3577,0,0
"Mostly Idle",3,1601,2051,3,0,3122,0,0
