player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,5,3,0.5,5176,0,0,5,0,7
2,Casual,5,3,0.5,4291,0,0,5,0,7.2
3,Casual,2,6,2,2939,0,0,2,0,7.5
4,Regular,4,4,1.3333,5335,0,0,4,0,5.5
5,Regular,6,2,0.4,3162,0,0,6,0,10.8333
6,Regular,4,4,1,4255,0,0,4,0,8.25
7,Hardcore,3,5,2.5,475,112,0,1,2,14.6667
8,Hardcore,4,4,1.3333,1275,0,0,4,0,12
9,Hardcore,3,5,1,945,56,0,2,1,12.3333
10,Hoarder,4,4,1,17140,0,0,4,0,1.75
11,Hoarder,4,4,1.3333,4683,0,0,4,0,6.25
12,Hoarder,5,3,0.75,7121,0,0,5,0,5.2
13,"Early Locker",7,1,0,6492,0,0,7,0,5.8571
14,"Early Locker",5,3,0.75,2979,0,0,5,0,9.4
15,"Early Locker",5,3,0.25,2914,0,0,5,0,8
16,"Late Deployer",4,4,1.3333,692,56,0,3,1,14.25
17,"Late Deployer",3,5,1.5,2411,0,0,3,0,6.6667
18,"Late Deployer",4,4,1.3333,4147,0,0,4,0,7.75
19,Boost-Focused,3,5,1.5,2795,56,0,2,1,8.3333
20,Boost-Focused,3,5,1.5,1739,56,0,2,1,8.3333
21,Boost-Focused,3,5,1.5,6111,112,0,1,2,10
22,Star-Focused,4,4,1.3333,4960,0,0,4,0,5.25
23,Star-Focused,4,4,1,10991,0,0,4,0,5.5
24,Star-Focused,3,5,2,4322,0,0,3,0,4
25,"Aggressive Sigil User",4,4,1.3333,4491,0,0,4,0,7.75
26,"Aggressive Sigil User",4,4,1,2379,0,0,4,0,9.25
27,"Aggressive Sigil User",4,4,1.3333,4292,56,0,3,1,8.5
28,"Mostly Idle",1,7,0,1140,0,0,1,0,3
29,"Mostly Idle",3,5,1.5,2287,0,0,3,0,7
30,"Mostly Idle",2,6,3,1342,0,0,2,0,9
