archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,5028,2762,2,0,6536,0,0
Regular,2,6214,5279,2,0,8078,2,0
Hardcore,2,5537,5530,0,2,11187,2,0
Hoarder,2,8740,8682,2,0,11361,8,0
"Early Locker",2,11643,8024,2,0,15135,0,0
"Late Deployer",2,5891,3742,2,0,7658,0,0
Boost-Focused,2,5399,5312,1,1,8934,0,0
Star-Focused,2,9764,7714,2,0,12693,4,0
"Aggressive Sigil User",2,5226,5202,1,1,8688,1,0
"Mostly Idle",2,4703,2540,2,0,6113,0,0
