player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,1,0,2974,0,0,3,0,4.6667
2,Casual,2,2,0,2781,0,0,2,0,3
3,Regular,2,2,1,582,0,0,2,0,10.5
4,Regular,2,2,1,1020,0,0,2,0,9.5
5,Hardcore,2,2,1,1384,0,0,2,0,7.5
6,Hardcore,1,3,0,127,56,0,0,1,11
7,Hoarder,2,2,1,5556,0,0,2,0,1.5
8,Hoarder,1,3,0,1474,0,0,1,0,4
9,"Early Locker",4,0,0,1985,0,0,4,0,5.5
10,"Early Locker",3,1,0.5,3127,0,0,3,0,5.3333
11,"Late Deployer",1,3,0,92,56,0,0,1,5
12,"Late Deployer",2,2,1,627,56,0,1,1,11
13,Boost-Focused,1,3,0,98,0,0,1,0,4
14,Boost-Focused,1,3,0,117,56,0,0,1,14
15,Star-Focused,1,3,0,2687,0,0,1,0,3
16,Star-Focused,2,2,1,5731,0,0,2,0,2
17,"Aggressive Sigil User",2,2,1,2133,0,0,2,0,5
18,"Aggressive Sigil User",0,4,0,0,0,0,0,0,0
19,"Mostly Idle",1,3,0,847,0,0,1,0,7
20,"Mostly Idle",2,2,0,1304,0,0,2,0,5.5
