player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,2,1,2398,0,0,2,0,4
2,Regular,1,3,0,663,0,0,1,0,4
3,Hardcore,1,3,0,1990,0,0,1,0,3
4,Hoarder,2,2,1,8056,0,0,2,0,2.5
5,"Early Locker",4,0,0,4080,0,0,4,0,2.5
6,"Late Deployer",2,2,1,1689,0,0,2,0,1.5
7,Boost-Focused,2,2,1,4001,0,0,2,0,2.5
8,Star-Focused,1,3,0,1973,0,0,1,0,5
9,"Aggressive Sigil User",1,3,0,680,0,0,1,0,7
10,"Mostly Idle",1,3,0,1628,0,0,1,0,1
