player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,2,1,2196,0,0,2,0,2.5
2,Regular,2,2,1,1019,0,0,2,0,4
3,Hardcore,2,2,1,2158,56,0,1,1,2.5
4,Hoarder,2,2,2,3839,0,0,2,0,1.5
5,"Early Locker",1,3,0,1051,0,0,1,0,1
6,"Late Deployer",1,3,0,89,0,0,1,0,8
7,Boost-Focused,2,2,2,352,0,0,2,0,5
8,Star-Focused,2,2,2,442,0,0,2,0,5
9,"Aggressive Sigil User",2,2,1,2046,0,0,2,0,2.5
10,"Mostly Idle",2,2,2,524,0,0,2,0,5.5
