archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,256,256,1,0,166,0,0
Regular,1,477,477,1,0,310,0,0
Hardcore,1,315,315,1,0,204,0,0
Hoarder,1,565,565,1,0,367,0,0
"Early Locker",1,1019,1019,1,0,662,0,0
"Late Deployer",1,2022,2022,1,0,1314,0,0
Boost-Focused,1,696,696,1,0,452,0,0
Star-Focused,1,2037,2037,1,0,1324,0,0
"Aggressive Sigil User",1,289,289,1,0,187,0,0
"Mostly Idle",1,352,352,1,0,228,0,0
