archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,5382,4847,2,0,6996,0,0
Regular,2,6200,6014,2,0,8059,0,0
Hardcore,2,4300,3130,1,1,7561,1,0
Hoarder,2,6806,6774,2,0,8848,6,0
"Early Locker",2,2397,1990,2,0,3115,0,0
"Late Deployer",2,4328,4325,0,2,8768,4,0
Boost-Focused,2,5139,5134,1,1,8538,0,1
Star-Focused,2,10284,9019,2,0,13369,8,0
"Aggressive Sigil User",2,6745,5526,2,0,8767,1,1
"Mostly Idle",2,4442,4315,2,0,5774,0,0
