player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,2,0,2611,0,0,2,0,5
2,Casual,2,2,1,1544,0,0,2,0,3
3,Regular,3,1,0.5,1612,0,0,3,0,6
4,Regular,1,3,0,2135,0,0,1,0,2
5,Hardcore,2,2,1,230,0,0,2,0,6
6,Hardcore,2,2,2,6023,56,0,1,1,5.5
7,Hoarder,2,2,1,3044,0,0,2,0,4.5
8,Hoarder,2,2,1,3108,0,0,2,0,3
9,"Early Locker",0,4,0,0,0,0,0,0,0
10,"Early Locker",3,1,0.5,4623,0,0,3,0,2.6667
11,"Late Deployer",1,3,0,2289,0,0,1,0,1
12,"Late Deployer",1,3,0,5870,0,0,1,0,1
13,Boost-Focused,1,3,0,113,56,0,0,1,12
14,Boost-Focused,2,2,2,242,112,0,0,2,9
15,Star-Focused,1,3,0,1680,0,0,1,0,4
16,Star-Focused,2,2,1,3456,0,0,2,0,3
17,"Aggressive Sigil User",2,2,1,1571,0,0,2,0,6.5
18,"Aggressive Sigil User",2,2,1,752,0,0,2,0,8.5
19,"Mostly Idle",1,3,0,490,0,0,1,0,5
20,"Mostly Idle",1,3,0,390,0,0,1,0,4
